# c8afd49a-0986-40f4-8154-05932945e709
# 9c72984ecd81d3bf4a1d2f2fc1bf0928978ec7c1
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.2990066; -0.5593536; -2.2193699; -0.0002680; 5.6171966; 0.0553537
0.1999969; -0.1396230; -0.6801661; -2.2194234; -0.0002670; 5.6191671; 0.0489425
0.3999938; 0.0197541; -0.8009870; -2.2194767; -0.0002659; 5.6209088; 0.0432745
0.5999907; 0.1791247; -0.9218165; -2.2195298; -0.0002649; 5.6224483; 0.0382634
0.7999876; 0.3384890; -1.0426544; -2.2195827; -0.0002639; 5.6238092; 0.0338330
0.9999846; 0.4978469; -1.1635006; -2.2196353; -0.0002628; 5.6250123; 0.0299158
1.1999815; 0.6571984; -1.2843553; -2.2196878; -0.0002618; 5.6260758; 0.0264525
1.3999784; 0.8165437; -1.4052183; -2.2197400; -0.0002608; 5.6270161; 0.0233902
1.5999753; 0.9758826; -1.5260896; -2.2197921; -0.0002597; 5.6278474; 0.0206826
1.7999722; 1.1352152; -1.6469692; -2.2198439; -0.0002587; 5.6285823; 0.0182886
1.9999691; 1.2945416; -1.7678571; -2.2198956; -0.0002577; 5.6292321; 0.0161717
2.1999660; 1.4538617; -1.8887531; -2.2199470; -0.0002566; 5.6298066; 0.0143000
2.3999629; 1.6131757; -2.0096573; -2.2199982; -0.0002556; 5.6303146; 0.0126449
2.5999598; 1.7724834; -2.1305697; -2.2200492; -0.0002545; 5.6307638; 0.0111815
2.7999567; 1.9317850; -2.2514902; -2.2201000; -0.0002535; 5.6311609; 0.0098874
2.9999537; 2.0910805; -2.3724187; -2.2201506; -0.0002525; 5.6315120; 0.0087431
3.1999506; 2.2503699; -2.4933553; -2.2202010; -0.0002514; 5.6318225; 0.0077313
3.3999475; 2.4096532; -2.6142999; -2.2202512; -0.0002504; 5.6320971; 0.0068366
3.5999444; 2.5689304; -2.7352525; -2.2203012; -0.0002494; 5.6323398; 0.0060454
3.7999413; 2.7282016; -2.8562130; -2.2203509; -0.0002483; 5.6325545; 0.0053459
3.9999382; 2.8874668; -2.9771815; -2.2204005; -0.0002473; 5.6327443; 0.0047272
4.1999351; 3.0467260; -3.0981578; -2.2204499; -0.0002463; 5.6329122; 0.0041802
4.3999320; 3.2059793; -3.2191420; -2.2204990; -0.0002452; 5.6330606; 0.0036965
4.5999289; 3.3652266; -3.3401339; -2.2205480; -0.0002442; 5.6331918; 0.0032687
4.7999258; 3.5244680; -3.4611337; -2.2205967; -0.0002432; 5.6333079; 0.0028905
4.9999228; 3.6837035; -3.5821412; -2.2206452; -0.0002421; 5.6334105; 0.0025560
5.1999197; 3.8429332; -3.7031564; -2.2206935; -0.0002411; 5.6335012; 0.0022602
5.3999166; 4.0021570; -3.8241792; -2.2207417; -0.0002401; 5.6335815; 0.0019987
5.5999135; 4.1613750; -3.9452098; -2.2207896; -0.0002390; 5.6336524; 0.0017674
5.7999104; 4.3205872; -4.0662479; -2.2208373; -0.0002380; 5.6337152; 0.0015629
5.9999073; 4.4797937; -4.1872936; -2.2208848; -0.0002370; 5.6337707; 0.0013821
6.1999042; 4.6389944; -4.3083469; -2.2209320; -0.0002359; 5.6338197; 0.0012221
6.3999011; 4.7981895; -4.4294076; -2.2209791; -0.0002349; 5.6338631; 0.0010807
6.5998980; 4.9573788; -4.5504759; -2.2210260; -0.0002339; 5.6339015; 0.0009557
6.7998950; 5.1165625; -4.6715516; -2.2210727; -0.0002328; 5.6339354; 0.0008451
6.9998919; 5.2757405; -4.7926347; -2.2211191; -0.0002318; 5.6339654; 0.0007473
7.1998888; 5.4349129; -4.9137252; -2.2211654; -0.0002307; 5.6339919; 0.0006608
7.3998857; 5.5940797; -5.0348230; -2.2212114; -0.0002297; 5.6340154; 0.0005844
7.5998826; 5.7532410; -5.1559281; -2.2212573; -0.0002287; 5.6340361; 0.0005167
7.7998795; 5.9123967; -5.2770406; -2.2213029; -0.0002276; 5.6340545; 0.0004570
7.9998764; 6.0715469; -5.3981602; -2.2213483; -0.0002266; 5.6340707; 0.0004041
8.1998733; 6.2306917; -5.5192871; -2.2213935; -0.0002256; 5.6340850; 0.0003573
8.3998702; 6.3898309; -5.6404212; -2.2214386; -0.0002245; 5.6340977; 0.0003160
8.5998671; 6.5489647; -5.7615624; -2.2214834; -0.0002235; 5.6341089; 0.0002794
8.7998641; 6.7080932; -5.8827107; -2.2215280; -0.0002225; 5.6341188; 0.0002471
8.9998610; 6.8672162; -6.0038661; -2.2215723; -0.0002214; 5.6341276; 0.0002185
9.1998579; 7.0263338; -6.1250285; -2.2216165; -0.0002204; 5.6341354; 0.0001932
9.3998548; 7.1854461; -6.2461980; -2.2216605; -0.0002194; 5.6341422; 0.0001709
9.5998517; 7.3445531; -6.3673744; -2.2217043; -0.0002183; 5.6341483; 0.0001511
9.7998486; 7.5036548; -6.4885578; -2.2217478; -0.0002173; 5.6341537; 0.0001336
9.9998455; 7.6627512; -6.6097481; -2.2217912; -0.0002163; 5.6341584; 0.0001181
10.1998424; 7.8218424; -6.7309453; -2.2218343; -0.0002152; 5.6341626; 0.0001045
10.3998393; 7.9809284; -6.8521493; -2.2218773; -0.0002142; 5.6341663; 0.0000924
10.5998362; 8.1400092; -6.9733602; -2.2219200; -0.0002132; 5.6341696; 0.0000817
10.7998332; 8.2990848; -7.0945778; -2.2219625; -0.0002121; 5.6341725; 0.0000722
10.9998301; 8.4581553; -7.2158022; -2.2220049; -0.0002111; 5.6341751; 0.0000639
11.1998270; 8.6172206; -7.3370333; -2.2220470; -0.0002101; 5.6341773; 0.0000565
11.3998239; 8.7762809; -7.4582711; -2.2220889; -0.0002090; 5.6341793; 0.0000500
11.5998208; 8.9353361; -7.5795155; -2.2221306; -0.0002080; 5.6341811; 0.0000442
11.7998177; 9.0943862; -7.7007665; -2.2221721; -0.0002070; 5.6341827; 0.0000391
11.9998146; 9.2534314; -7.8220241; -2.2222134; -0.0002059; 5.6341841; 0.0000345
12.1998115; 9.4124715; -7.9432883; -2.2222544; -0.0002049; 5.6341853; 0.0000305
12.3998084; 9.5715067; -8.0645590; -2.2222953; -0.0002038; 5.6341864; 0.0000270
12.5998054; 9.7305369; -8.1858362; -2.2223360; -0.0002028; 5.6341873; 0.0000239
12.7998023; 9.8895622; -8.3071198; -2.2223764; -0.0002018; 5.6341882; 0.0000211
12.9997992; 10.0485826; -8.4284098; -2.2224167; -0.0002007; 5.6341889; 0.0000187
13.1997961; 10.2075981; -8.5497063; -2.2224567; -0.0001997; 5.6341896; 0.0000165
13.3997930; 10.3666088; -8.6710090; -2.2224966; -0.0001987; 5.6341902; 0.0000146
13.5997899; 10.5256147; -8.7923181; -2.2225362; -0.0001976; 5.6341907; 0.0000129
13.7997868; 10.6846158; -8.9136335; -2.2225756; -0.0001966; 5.6341911; 0.0000114
13.9997837; 10.8436121; -9.0349551; -2.2226148; -0.0001956; 5.6341916; 0.0000101
14.1997806; 11.0026037; -9.1562830; -2.2226539; -0.0001945; 5.6341919; 0.0000089
14.3997775; 11.1615905; -9.2776170; -2.2226927; -0.0001935; 5.6341922; 0.0000079
14.5997745; 11.3205726; -9.3989572; -2.2227313; -0.0001925; 5.6341925; 0.0000070
14.7997714; 11.4795501; -9.5203035; -2.2227696; -0.0001914; 5.6341928; 0.0000062
14.9997683; 11.6385229; -9.6416559; -2.2228078; -0.0001904; 5.6341930; 0.0000055
15.1997652; 11.7974912; -9.7630144; -2.2228458; -0.0001894; 5.6341932; 0.0000048
15.3997621; 11.9564548; -9.8843788; -2.2228836; -0.0001883; 5.6341933; 0.0000043
15.5997590; 12.1154138; -10.0057493; -2.2229211; -0.0001873; 5.6341935; 0.0000038
15.7997559; 12.2743683; -10.1271257; -2.2229585; -0.0001863; 5.6341936; 0.0000033
15.9997528; 12.4333183; -10.2485080; -2.2229956; -0.0001852; 5.6341937; 0.0000030
16.1997497; 12.5922638; -10.3698962; -2.2230326; -0.0001842; 5.6341938; 0.0000026
16.3997466; 12.7512048; -10.4912903; -2.2230693; -0.0001832; 5.6341939; 0.0000023
16.5997436; 12.9101413; -10.6126902; -2.2231058; -0.0001821; 5.6341940; 0.0000020
16.7997405; 13.0690735; -10.7340959; -2.2231422; -0.0001811; 5.6341941; 0.0000018
16.9997374; 13.2280012; -10.8555073; -2.2231783; -0.0001801; 5.6341942; 0.0000016
17.1997343; 13.3869246; -10.9769245; -2.2232142; -0.0001790; 5.6341942; 0.0000014
17.3997312; 13.5458436; -11.0983473; -2.2232499; -0.0001780; 5.6341943; 0.0000012
17.5997281; 13.7047583; -11.2197759; -2.2232854; -0.0001769; 5.6341943; 0.0000011
17.7997250; 13.8636687; -11.3412100; -2.2233207; -0.0001759; 5.6341943; 0.0000010
17.9997219; 14.0225748; -11.4626497; -2.2233557; -0.0001749; 5.6341944; 0.0000009
18.1997188; 14.1814767; -11.5840950; -2.2233906; -0.0001738; 5.6341944; 0.0000008
18.3997158; 14.3403744; -11.7055458; -2.2234253; -0.0001728; 5.6341944; 0.0000007
18.5997127; 14.4992678; -11.8270021; -2.2234597; -0.0001718; 5.6341945; 0.0000006
18.7997096; 14.6581571; -11.9484639; -2.2234940; -0.0001707; 5.6341945; 0.0000005
18.9997065; 14.8170422; -12.0699310; -2.2235280; -0.0001697; 5.6341945; 0.0000005
19.1997034; 14.9759233; -12.1914036; -2.2235619; -0.0001687; 5.6341945; 0.0000004
19.3997003; 15.1348002; -12.3128815; -2.2235955; -0.0001676; 5.6341945; 0.0000004
19.5996972; 15.2936730; -12.4343648; -2.2236289; -0.0001666; 5.6341946; 0.0000003
19.7996941; 15.4525418; -12.5558534; -2.2236621; -0.0001656; 5.6341946; 0.0000003
19.9996910; 15.6114066; -12.6773472; -2.2236951; -0.0001645; 5.6341946; 0.0000003
20.1996879; 15.7702674; -12.7988462; -2.2237279; -0.0001635; 5.6341946; 0.0000002
20.3996849; 15.9291242; -12.9203504; -2.2237605; -0.0001625; 5.6341946; 0.0000002
20.5996818; 16.0879770; -13.0418598; -2.2237929; -0.0001614; 5.6341946; 0.0000002
20.7996787; 16.2468260; -13.1633744; -2.2238251; -0.0001604; 5.6341946; 0.0000002
20.9996756; 16.4056710; -13.2848940; -2.2238571; -0.0001594; 5.6341946; 0.0000001
21.1996725; 16.5645122; -13.4064187; -2.2238888; -0.0001583; 5.6341946; 0.0000001
21.3996694; 16.7233495; -13.5279484; -2.2239204; -0.0001573; 5.6341946; 0.0000001
21.5996663; 16.8821830; -13.6494831; -2.2239518; -0.0001563; 5.6341946; 0.0000001
21.7996632; 17.0410127; -13.7710228; -2.2239829; -0.0001552; 5.6341946; 0.0000001
21.9996601; 17.1998386; -13.8925674; -2.2240138; -0.0001542; 5.6341946; 0.0000001
22.1996570; 17.3586608; -14.0141169; -2.2240446; -0.0001531; 5.6341946; 0.0000001
22.3996540; 17.5174792; -14.1356713; -2.2240751; -0.0001521; 5.6341946; 0.0000001
22.5996509; 17.6762940; -14.2572305; -2.2241054; -0.0001511; 5.6341946; 0.0000001
22.7996478; 17.8351051; -14.3787944; -2.2241355; -0.0001500; 5.6341946; 0.0000000
22.9996447; 17.9939125; -14.5003632; -2.2241654; -0.0001490; 5.6341946; 0.0000000
23.1996416; 18.1527163; -14.6219367; -2.2241951; -0.0001480; 5.6341946; 0.0000000
23.3996385; 18.3115165; -14.7435149; -2.2242246; -0.0001469; 5.6341946; 0.0000000
23.5996354; 18.4703131; -14.8650978; -2.2242539; -0.0001459; 5.6341946; 0.0000000
23.7996323; 18.6291062; -14.9866853; -2.2242830; -0.0001449; 5.6341946; 0.0000000
23.9996292; 18.7878958; -15.1082774; -2.2243119; -0.0001438; 5.6341946; 0.0000000
24.1996262; 18.9466819; -15.2298740; -2.2243405; -0.0001428; 5.6341946; 0.0000000
24.3996231; 19.1054645; -15.3514752; -2.2243690; -0.0001418; 5.6341946; 0.0000000
24.5996200; 19.2642436; -15.4730809; -2.2243972; -0.0001407; 5.6341946; 0.0000000
