# 990ba436-99fe-4526-9b9f-3927cacb2dc8
# 9c72984ecd81d3bf4a1d2f2fc1bf0928978ec7c1
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.1291444; -0.3293342; -2.2214475; -0.0001561; 5.6253950; 0.0286694
0.1999987; 0.0299906; -0.4504768; -2.2214786; -0.0001550; 5.6264142; 0.0253503
0.3999974; 0.1891218; -0.5716244; -2.2215095; -0.0001539; 5.6273153; 0.0224157
0.5999960; 0.3482493; -0.6927768; -2.2215402; -0.0001528; 5.6281119; 0.0198210
0.7999947; 0.5073731; -0.8139341; -2.2215707; -0.0001518; 5.6288162; 0.0175267
0.9999934; 0.6664932; -0.9350963; -2.2216009; -0.0001507; 5.6294389; 0.0154980
1.1999921; 0.8256096; -1.0562632; -2.2216309; -0.0001496; 5.6299895; 0.0137042
1.3999907; 0.9847224; -1.1774349; -2.2216608; -0.0001486; 5.6304763; 0.0121181
1.5999894; 1.1438317; -1.2986113; -2.2216904; -0.0001475; 5.6309067; 0.0107156
1.7999881; 1.3029373; -1.4197925; -2.2217198; -0.0001464; 5.6312873; 0.0094755
1.9999868; 1.4620394; -1.5409782; -2.2217489; -0.0001453; 5.6316238; 0.0083789
2.1999854; 1.6211380; -1.6621686; -2.2217779; -0.0001443; 5.6319214; 0.0074092
2.3999841; 1.7802331; -1.7833636; -2.2218066; -0.0001432; 5.6321845; 0.0065518
2.5999828; 1.9393247; -1.9045632; -2.2218352; -0.0001421; 5.6324171; 0.0057936
2.7999815; 2.0984128; -2.0257672; -2.2218635; -0.0001411; 5.6326228; 0.0051231
2.9999802; 2.2574976; -2.1469758; -2.2218916; -0.0001400; 5.6328048; 0.0045303
3.1999788; 2.4165789; -2.2681888; -2.2219195; -0.0001389; 5.6329656; 0.0040060
3.3999775; 2.5756569; -2.3894062; -2.2219471; -0.0001378; 5.6331078; 0.0035425
3.5999762; 2.7347316; -2.5106281; -2.2219746; -0.0001368; 5.6332336; 0.0031325
3.7999749; 2.8938029; -2.6318542; -2.2220019; -0.0001357; 5.6333448; 0.0027701
3.9999735; 3.0528709; -2.7530847; -2.2220289; -0.0001346; 5.6334432; 0.0024495
4.1999722; 3.2119357; -2.8743195; -2.2220557; -0.0001335; 5.6335301; 0.0021661
4.3999709; 3.3709972; -2.9955585; -2.2220823; -0.0001325; 5.6336070; 0.0019154
4.5999696; 3.5300556; -3.1168017; -2.2221087; -0.0001314; 5.6336750; 0.0016938
4.7999682; 3.6891107; -3.2380491; -2.2221349; -0.0001303; 5.6337352; 0.0014978
4.9999669; 3.8481627; -3.3593007; -2.2221608; -0.0001293; 5.6337883; 0.0013245
5.1999656; 4.0072115; -3.4805563; -2.2221866; -0.0001282; 5.6338353; 0.0011712
5.3999643; 4.1662573; -3.6018161; -2.2222121; -0.0001271; 5.6338769; 0.0010357
5.5999629; 4.3252999; -3.7230799; -2.2222374; -0.0001260; 5.6339137; 0.0009158
5.7999616; 4.4843395; -3.8443477; -2.2222625; -0.0001250; 5.6339462; 0.0008099
5.9999603; 4.6433761; -3.9656194; -2.2222874; -0.0001239; 5.6339749; 0.0007162
6.1999590; 4.8024096; -4.0868952; -2.2223121; -0.0001228; 5.6340004; 0.0006333
6.3999577; 4.9614402; -4.2081748; -2.2223365; -0.0001218; 5.6340228; 0.0005600
6.5999563; 5.1204678; -4.3294583; -2.2223608; -0.0001207; 5.6340427; 0.0004952
6.7999550; 5.2794925; -4.4507456; -2.2223848; -0.0001196; 5.6340603; 0.0004379
6.9999537; 5.4385143; -4.5720367; -2.2224086; -0.0001185; 5.6340759; 0.0003872
7.1999524; 5.5975332; -4.6933316; -2.2224322; -0.0001175; 5.6340896; 0.0003424
7.3999510; 5.7565493; -4.8146303; -2.2224556; -0.0001164; 5.6341018; 0.0003028
7.5999497; 5.9155625; -4.9359326; -2.2224788; -0.0001153; 5.6341125; 0.0002678
7.7999484; 6.0745730; -5.0572386; -2.2225017; -0.0001143; 5.6341220; 0.0002368
7.9999471; 6.2335807; -5.1785483; -2.2225245; -0.0001132; 5.6341304; 0.0002094
8.1999457; 6.3925856; -5.2998615; -2.2225470; -0.0001121; 5.6341378; 0.0001852
8.3999444; 6.5515878; -5.4211783; -2.2225693; -0.0001110; 5.6341444; 0.0001637
8.5999431; 6.7105873; -5.5424987; -2.2225914; -0.0001100; 5.6341502; 0.0001448
8.7999418; 6.8695842; -5.6638225; -2.2226133; -0.0001089; 5.6341554; 0.0001280
8.9999405; 7.0285784; -5.7851498; -2.2226350; -0.0001078; 5.6341599; 0.0001132
9.1999391; 7.1875700; -5.9064805; -2.2226564; -0.0001068; 5.6341639; 0.0001001
9.3999378; 7.3465590; -6.0278147; -2.2226777; -0.0001057; 5.6341675; 0.0000885
9.5999365; 7.5055454; -6.1491521; -2.2226987; -0.0001046; 5.6341706; 0.0000783
9.7999352; 7.6645293; -6.2704930; -2.2227195; -0.0001035; 5.6341734; 0.0000692
9.9999338; 7.8235107; -6.3918371; -2.2227401; -0.0001025; 5.6341759; 0.0000612
10.1999325; 7.9824896; -6.5131844; -2.2227605; -0.0001014; 5.6341780; 0.0000541
10.3999312; 8.1414660; -6.6345350; -2.2227807; -0.0001003; 5.6341800; 0.0000479
10.5999299; 8.3004400; -6.7558888; -2.2228006; -0.0000992; 5.6341817; 0.0000423
10.7999285; 8.4594116; -6.8772457; -2.2228204; -0.0000982; 5.6341832; 0.0000374
10.9999272; 8.6183808; -6.9986057; -2.2228399; -0.0000971; 5.6341845; 0.0000331
11.1999259; 8.7773477; -7.1199689; -2.2228592; -0.0000960; 5.6341857; 0.0000293
11.3999246; 8.9363122; -7.2413351; -2.2228783; -0.0000950; 5.6341867; 0.0000259
11.5999232; 9.0952744; -7.3627043; -2.2228972; -0.0000939; 5.6341876; 0.0000229
11.7999219; 9.2542343; -7.4840765; -2.2229159; -0.0000928; 5.6341884; 0.0000202
11.9999206; 9.4131920; -7.6054516; -2.2229343; -0.0000917; 5.6341892; 0.0000179
12.1999193; 9.5721475; -7.7268297; -2.2229526; -0.0000907; 5.6341898; 0.0000158
12.3999180; 9.7311007; -7.8482106; -2.2229706; -0.0000896; 5.6341904; 0.0000140
12.5999166; 9.8900518; -7.9695944; -2.2229884; -0.0000885; 5.6341909; 0.0000124
12.7999153; 10.0490007; -8.0909810; -2.2230060; -0.0000875; 5.6341913; 0.0000109
12.9999140; 10.2079475; -8.2123704; -2.2230234; -0.0000864; 5.6341917; 0.0000097
13.1999127; 10.3668923; -8.3337625; -2.2230406; -0.0000853; 5.6341920; 0.0000086
13.3999113; 10.5258349; -8.4551574; -2.2230575; -0.0000842; 5.6341923; 0.0000076
13.5999100; 10.6847755; -8.5765549; -2.2230743; -0.0000832; 5.6341926; 0.0000067
13.7999087; 10.8437141; -8.6979551; -2.2230908; -0.0000821; 5.6341928; 0.0000059
13.9999074; 11.0026506; -8.8193578; -2.2231071; -0.0000810; 5.6341930; 0.0000052
14.1999060; 11.1615853; -8.9407632; -2.2231232; -0.0000800; 5.6341932; 0.0000046
14.3999047; 11.3205179; -9.0621711; -2.2231391; -0.0000789; 5.6341934; 0.0000041
14.5999034; 11.4794487; -9.1835815; -2.2231547; -0.0000778; 5.6341935; 0.0000036
14.7999021; 11.6383776; -9.3049943; -2.2231702; -0.0000767; 5.6341937; 0.0000032
14.9999008; 11.7973046; -9.4264096; -2.2231854; -0.0000757; 5.6341938; 0.0000028
15.1998994; 11.9562297; -9.5478274; -2.2232005; -0.0000746; 5.6341939; 0.0000025
15.3998981; 12.1151531; -9.6692474; -2.2232153; -0.0000735; 5.6341940; 0.0000022
15.5998968; 12.2740747; -9.7906699; -2.2232299; -0.0000724; 5.6341940; 0.0000020
15.7998955; 12.4329945; -9.9120946; -2.2232443; -0.0000714; 5.6341941; 0.0000017
15.9998941; 12.5919126; -10.0335216; -2.2232584; -0.0000703; 5.6341942; 0.0000015
16.1998928; 12.7508289; -10.1549508; -2.2232724; -0.0000692; 5.6341942; 0.0000014
16.3998915; 12.9097436; -10.2763823; -2.2232861; -0.0000682; 5.6341943; 0.0000012
16.5998902; 13.0686566; -10.3978158; -2.2232996; -0.0000671; 5.6341943; 0.0000011
16.7998888; 13.2275681; -10.5192516; -2.2233130; -0.0000660; 5.6341944; 0.0000009
16.9998875; 13.3864779; -10.6406894; -2.2233260; -0.0000649; 5.6341944; 0.0000008
17.1998862; 13.5453861; -10.7621293; -2.2233389; -0.0000639; 5.6341944; 0.0000007
17.3998849; 13.7042928; -10.8835712; -2.2233516; -0.0000628; 5.6341945; 0.0000006
17.5998836; 13.8631979; -11.0050151; -2.2233640; -0.0000617; 5.6341945; 0.0000006
17.7998822; 14.0221015; -11.1264610; -2.2233763; -0.0000607; 5.6341945; 0.0000005
17.9998809; 14.1810037; -11.2479088; -2.2233883; -0.0000596; 5.6341945; 0.0000004
18.1998796; 14.3399045; -11.3693585; -2.2234001; -0.0000585; 5.6341945; 0.0000004
18.3998783; 14.4988038; -11.4908101; -2.2234117; -0.0000574; 5.6341945; 0.0000003
18.5998769; 14.6577017; -11.6122635; -2.2234231; -0.0000564; 5.6341946; 0.0000003
18.7998756; 14.8165982; -11.7337186; -2.2234343; -0.0000553; 5.6341946; 0.0000003
18.9998743; 14.9754934; -11.8551756; -2.2234452; -0.0000542; 5.6341946; 0.0000002
19.1998730; 15.1343873; -11.9766342; -2.2234560; -0.0000532; 5.6341946; 0.0000002
19.3998716; 15.2932799; -12.0980946; -2.2234665; -0.0000521; 5.6341946; 0.0000002
19.5998703; 15.4521712; -12.2195566; -2.2234768; -0.0000510; 5.6341946; 0.0000002
19.7998690; 15.6110613; -12.3410202; -2.2234869; -0.0000499; 5.6341946; 0.0000001
