# 6ced3ecd-d757-436b-adfd-3d781a1d1b7b
# e9a19b38e509a0346497c558d966096436d47c65
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.1291444; -0.3293342; -2.2214475; -0.0001561; 10.0466891; 3.1677142
0.1999987; 0.0299906; -0.4504768; -2.2214786; -0.0001550; 10.1095518; 3.1260839
0.3999974; 0.1891218; -0.5716244; -2.2215095; -0.0001539; 10.1712076; 3.0851929
0.5999960; 0.3482493; -0.6927768; -2.2215402; -0.0001528; 10.2316926; 3.0450205
0.7999947; 0.5073731; -0.8139341; -2.2215707; -0.0001518; 10.2910414; 3.0055471
0.9999934; 0.6664932; -0.9350963; -2.2216009; -0.0001507; 10.3492871; 2.9667536
1.1999921; 0.8256096; -1.0562632; -2.2216309; -0.0001496; 10.4064613; 2.9286219
1.3999907; 0.9847224; -1.1774349; -2.2216608; -0.0001486; 10.4625942; 2.8911347
1.5999894; 1.1438317; -1.2986113; -2.2216904; -0.0001475; 10.5177148; 2.8542754
1.7999881; 1.3029373; -1.4197925; -2.2217198; -0.0001464; 10.5718507; 2.8180280
1.9999868; 1.4620394; -1.5409782; -2.2217489; -0.0001453; 10.6250285; 2.7823771
2.1999854; 1.6211380; -1.6621686; -2.2217779; -0.0001443; 10.6772737; 2.7473080
2.3999841; 1.7802331; -1.7833636; -2.2218066; -0.0001432; 10.7286108; 2.7128066
2.5999828; 1.9393247; -1.9045632; -2.2218352; -0.0001421; 10.7790633; 2.6788591
2.7999815; 2.0984128; -2.0257672; -2.2218635; -0.0001411; 10.8286538; 2.6454525
2.9999802; 2.2574976; -2.1469758; -2.2218916; -0.0001400; 10.8774039; 2.6125741
3.1999788; 2.4165789; -2.2681888; -2.2219195; -0.0001389; 10.9253347; 2.5802116
3.3999775; 2.5756569; -2.3894062; -2.2219471; -0.0001378; 10.9724663; 2.5483533
3.5999762; 2.7347316; -2.5106281; -2.2219746; -0.0001368; 11.0188181; 2.5169879
3.7999749; 2.8938029; -2.6318542; -2.2220019; -0.0001357; 11.0644087; 2.4861043
3.9999735; 3.0528709; -2.7530847; -2.2220289; -0.0001346; 11.1092563; 2.4556919
4.1999722; 3.2119357; -2.8743195; -2.2220557; -0.0001335; 11.1533782; 2.4257406
4.3999709; 3.3709972; -2.9955585; -2.2220823; -0.0001325; 11.1967913; 2.3962403
