# cf83e66d-172b-4955-9fbc-ac8965a91300
# 9c72984ecd81d3bf4a1d2f2fc1bf0928978ec7c1
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.2347455; 0.2349416; -1.1560350; -0.0001750; 5.6341684; 0.0000857
0.1999427; -0.0517536; 0.3155087; -1.1560854; -0.0003295; 5.6341714; 0.0000757
0.3998855; 0.1312436; 0.3960637; -1.1561668; -0.0004841; 5.6341741; 0.0000670
0.5998282; 0.3142487; 0.4766010; -1.1562790; -0.0006386; 5.6341765; 0.0000592
0.7997710; 0.4972640; 0.5571150; -1.1564221; -0.0007931; 5.6341786; 0.0000524
0.9997137; 0.6802921; 0.6375999; -1.1565962; -0.0009477; 5.6341804; 0.0000463
1.1996565; 0.8633354; 0.7180502; -1.1568011; -0.0011022; 5.6341821; 0.0000410
1.3995992; 1.0463964; 0.7984601; -1.1570369; -0.0012567; 5.6341835; 0.0000362
1.5995420; 1.2294777; 0.8788240; -1.1573036; -0.0014113; 5.6341848; 0.0000320
1.7994847; 1.4125816; 0.9591362; -1.1576013; -0.0015658; 5.6341860; 0.0000283
1.9994274; 1.5957107; 1.0393911; -1.1579298; -0.0017203; 5.6341870; 0.0000251
2.1993702; 1.7788673; 1.1195830; -1.1582892; -0.0018749; 5.6341879; 0.0000222
2.3993129; 1.9620540; 1.1997063; -1.1586795; -0.0020294; 5.6341886; 0.0000196
2.5992557; 2.1452732; 1.2797552; -1.1591007; -0.0021839; 5.6341893; 0.0000173
2.7991984; 2.3285273; 1.3597241; -1.1595528; -0.0023385; 5.6341899; 0.0000153
2.9991412; 2.5118188; 1.4396073; -1.1600358; -0.0024930; 5.6341905; 0.0000135
3.1990839; 2.6951501; 1.5193991; -1.1605497; -0.0026475; 5.6341910; 0.0000120
3.3990266; 2.8785236; 1.5990939; -1.1610945; -0.0028021; 5.6341914; 0.0000106
3.5989694; 3.0619417; 1.6786860; -1.1616702; -0.0029566; 5.6341918; 0.0000094
3.7989121; 3.2454069; 1.7581696; -1.1622768; -0.0031111; 5.6341921; 0.0000083
3.9988549; 3.4289214; 1.8375390; -1.1629143; -0.0032657; 5.6341924; 0.0000073
4.1987976; 3.6124877; 1.9167886; -1.1635827; -0.0034202; 5.6341927; 0.0000065
4.3987404; 3.7961082; 1.9959127; -1.1642820; -0.0035748; 5.6341929; 0.0000057
4.5986831; 3.9797852; 2.0749055; -1.1650122; -0.0037293; 5.6341931; 0.0000051
4.7986259; 4.1635211; 2.1537613; -1.1657733; -0.0038838; 5.6341933; 0.0000045
4.9985686; 4.3473181; 2.2324744; -1.1665653; -0.0040384; 5.6341934; 0.0000040
5.1985113; 4.5311786; 2.3110391; -1.1673882; -0.0041929; 5.6341936; 0.0000035
5.3984541; 4.7151049; 2.3894496; -1.1682420; -0.0043475; 5.6341937; 0.0000031
5.5983968; 4.8990994; 2.4677001; -1.1691292; -0.0045274; 5.6341938; 0.0000027
5.7983396; 5.0831649; 2.5457833; -1.1700626; -0.0048092; 5.6341939; 0.0000024
5.9982823; 5.2673057; 2.6236886; -1.1710672; -0.0052390; 5.6341940; 0.0000021
6.1982251; 5.4515294; 2.7013980; -1.1722066; -0.0061587; 5.6341941; 0.0000019
6.3981678; 5.6358489; 2.7788797; -1.1735422; -0.0072014; 5.6341941; 0.0000017
6.5981105; 5.8202798; 2.8560959; -1.1750863; -0.0082441; 5.6341942; 0.0000015
6.7980533; 6.0048377; 2.9330080; -1.1768389; -0.0092868; 5.6341942; 0.0000013
6.9979960; 6.1895381; 3.0095773; -1.1788000; -0.0103296; 5.6341943; 0.0000012
7.1979388; 6.3743962; 3.0857649; -1.1809696; -0.0113724; 5.6341943; 0.0000010
7.3978815; 6.5594271; 3.1615320; -1.1833477; -0.0124152; 5.6341944; 0.0000009
7.5978243; 6.7446455; 3.2368396; -1.1859342; -0.0134581; 5.6341944; 0.0000008
7.7977670; 6.9300658; 3.3116485; -1.1887294; -0.0145012; 5.6341944; 0.0000007
7.9977098; 7.1157023; 3.3859195; -1.1917331; -0.0155443; 5.6341945; -0.0015715
8.1976525; 7.3015686; 3.4596131; -1.1949453; -0.0165876; 5.6341387; -0.0127425
8.3975952; 7.4876784; 3.5326899; -1.1983662; -0.0176311; 5.6336865; -0.0324752
8.5975380; 7.6740446; 3.6051102; -1.2019958; -0.0186748; 5.6325338; -0.0598276
8.7974807; 7.8606799; 3.6768341; -1.2058340; -0.0197187; 5.6304096; -0.0939396
8.9974235; 8.0475965; 3.7478216; -1.2098810; -0.0207630; 5.6270727; -0.1324539
9.1973662; 8.2348062; 3.8180325; -1.2141368; -0.0218076; 5.6223644; -0.1666498
9.3973090; 8.4223202; 3.8874265; -1.2186016; -0.0228526; 5.6164348; -0.1969394
9.5972517; 8.6101494; 3.9559630; -1.2232753; -0.0238981; 5.6094195; -0.2236986
9.7971944; 8.7983038; 4.0236011; -1.2281581; -0.0249441; 5.6014403; -0.2472704
9.9971372; 8.9867933; 4.0903001; -1.2332501; -0.0259908; 5.5926070; -0.2679673
10.1970799; 9.1756267; 4.1560186; -1.2385515; -0.0270382; 5.5830187; -0.2860742
10.3970227; 9.3648127; 4.2207152; -1.2440623; -0.0280863; 5.5727642; -0.3018507
10.5969654; 9.5543590; 4.2843485; -1.2497829; -0.0291353; 5.5619236; -0.3155327
10.7969082; 9.7442728; 4.3468765; -1.2557132; -0.0301853; 5.5505691; -0.3273352
10.9968509; 9.9345604; 4.4082572; -1.2618536; -0.0312364; 5.5387653; -0.3374535
11.1967937; 10.1252277; 4.4684482; -1.2682043; -0.0322888; 5.5265702; -0.3460649
11.3967364; 10.3162796; 4.5274070; -1.2747655; -0.0333424; 5.5140359; -0.3533305
11.5966791; 10.5077202; 4.5850909; -1.2815375; -0.0343976; 5.5012090; -0.3593966
11.7966219; 10.6995530; 4.6414567; -1.2885207; -0.0354543; 5.4881311; -0.3643956
11.9965646; 10.8917806; 4.6964613; -1.2957153; -0.0365129; 5.4748394; -0.3684477
12.1965074; 11.0844045; 4.7500610; -1.3031218; -0.0375733; 5.4613670; -0.3716616
12.3964501; 11.2774257; 4.8022122; -1.3107405; -0.0386359; 5.4477433; -0.3741356
12.5963929; 11.4708439; 4.8528707; -1.3185719; -0.0397008; 5.4339945; -0.3759588
12.7963356; 11.6646582; 4.9019922; -1.3266164; -0.0407682; 5.4201435; -0.3772116
12.9962784; 11.8588663; 4.9495323; -1.3348747; -0.0418383; 5.4062107; -0.3779664
13.1962211; 12.0534654; 4.9954462; -1.3433472; -0.0429114; 5.3922139; -0.3782890
13.3961638; 12.2484511; 5.0396887; -1.3520345; -0.0439875; 5.3781687; -0.3782383
13.5961066; 12.4438184; 5.0822146; -1.3609374; -0.0450671; 5.3640886; -0.3778676
13.7960493; 12.6395610; 5.1229784; -1.3700565; -0.0461504; 5.3499853; -0.3772249
13.9959921; 12.8356713; 5.1619342; -1.3793925; -0.0472375; 5.3358688; -0.3763534
14.1959348; 13.0321407; 5.1990361; -1.3889463; -0.0483289; 5.3217476; -0.3752920
14.3958776; 13.2289595; 5.2342378; -1.3987188; -0.0494248; 5.3076288; -0.3740756
14.5958203; 13.4261165; 5.2674928; -1.4087109; -0.0505255; 5.2935183; -0.3727357
14.7957630; 13.6235993; 5.2987544; -1.4189236; -0.0516313; 5.2794209; -0.3713005
14.9957058; 13.8213943; 5.3279756; -1.4293579; -0.0527427; 5.2653402; -0.3697955
15.1956485; 14.0194864; 5.3551094; -1.4400150; -0.0538599; 5.2512790; -0.3682435
15.3955913; 14.2178592; 5.3801084; -1.4508961; -0.0549833; 5.2372393; -0.3666650
15.5955340; 14.4164948; 5.4029251; -1.4620025; -0.0561134; 5.2232224; -0.3650785
15.7954768; 14.6153738; 5.4235118; -1.4733355; -0.0572506; 5.2092286; -0.3635005
15.9954195; 14.8144754; 5.4418207; -1.4848966; -0.0583952; 5.1952578; -0.3619461
16.1953623; 15.0137771; 5.4578036; -1.4966874; -0.0595479; 5.1813094; -0.3604286
16.3953050; 15.2132550; 5.4714125; -1.5087095; -0.0607089; 5.1673820; -0.3589603
16.5952477; 15.4128833; 5.4825992; -1.5209647; -0.0618789; 5.1534739; -0.3575520
16.7951905; 15.6126347; 5.4913151; -1.5334546; -0.0630584; 5.1395830; -0.3562139
16.9951332; 15.8124800; 5.4975119; -1.5461814; -0.0642479; 5.1257067; -0.3549547
17.1950760; 16.0123884; 5.5011411; -1.5591471; -0.0654479; 5.1118419; -0.3537828
17.3950187; 16.2123272; 5.5021540; -1.5723539; -0.0666592; 5.0979854; -0.3527057
17.5949615; 16.4122616; 5.5005020; -1.5858040; -0.0678824; 5.0841335; -0.3517302
17.7949042; 16.6121551; 5.4961366; -1.5994999; -0.0691180; 5.0702822; -0.3508626
