# 7a016398-87d8-4e50-96a1-44960cd6b930
# e9a19b38e509a0346497c558d966096436d47c65
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.2347455; 0.2349416; -1.1560350; -0.0001750; 12.0000000; 0.0000000
0.1999427; -0.0517536; 0.3155087; -1.1560854; -0.0003295; 12.0000000; 0.0000000
0.3998855; 0.1312436; 0.3960637; -1.1561668; -0.0004841; 12.0000000; 0.0000000
0.5998282; 0.3142487; 0.4766010; -1.1562790; -0.0006386; 12.0000000; 0.0000000
0.7997710; 0.4972640; 0.5571150; -1.1564221; -0.0007931; 12.0000000; 0.0000000
0.9997137; 0.6802921; 0.6375999; -1.1565962; -0.0009477; 12.0000000; 0.0000000
1.1996565; 0.8633354; 0.7180502; -1.1568011; -0.0011022; 12.0000000; 0.0000000
1.3995992; 1.0463964; 0.7984601; -1.1570369; -0.0012567; 12.0000000; 0.0000000
1.5995420; 1.2294777; 0.8788240; -1.1573036; -0.0014113; 12.0000000; 0.0000000
1.7994847; 1.4125816; 0.9591362; -1.1576013; -0.0015658; 12.0000000; 0.0000000
1.9994274; 1.5957107; 1.0393911; -1.1579298; -0.0017203; 12.0000000; 0.0000000
2.1993702; 1.7788673; 1.1195830; -1.1582892; -0.0018749; 12.0000000; 0.0000000
2.3993129; 1.9620540; 1.1997063; -1.1586795; -0.0020294; 12.0000000; 0.0000000
2.5992557; 2.1452732; 1.2797552; -1.1591007; -0.0021839; 12.0000000; 0.0000000
2.7991984; 2.3285273; 1.3597241; -1.1595528; -0.0023385; 12.0000000; 0.0000000
2.9991412; 2.5118188; 1.4396073; -1.1600358; -0.0024930; 12.0000000; 0.0000000
3.1990839; 2.6951501; 1.5193991; -1.1605497; -0.0026475; 12.0000000; 0.0000000
3.3990266; 2.8785236; 1.5990939; -1.1610945; -0.0028021; 12.0000000; 0.0000000
3.5989694; 3.0619417; 1.6786860; -1.1616702; -0.0029566; 12.0000000; 0.0000000
3.7989121; 3.2454069; 1.7581696; -1.1622768; -0.0031111; 12.0000000; 0.0000000
3.9988549; 3.4289214; 1.8375390; -1.1629143; -0.0032657; 12.0000000; 0.0000000
4.1987976; 3.6124877; 1.9167886; -1.1635827; -0.0034202; 12.0000000; 0.0000000
4.3987404; 3.7961082; 1.9959127; -1.1642820; -0.0035748; 12.0000000; 0.0000000
4.5986831; 3.9797852; 2.0749055; -1.1650122; -0.0037293; 12.0000000; 0.0000000
4.7986259; 4.1635211; 2.1537613; -1.1657733; -0.0038838; 12.0000000; 0.0000000
4.9985686; 4.3473181; 2.2324744; -1.1665653; -0.0040384; 12.0000000; 0.0000000
5.1985113; 4.5311786; 2.3110391; -1.1673882; -0.0041929; 12.0000000; -0.0748146
5.3984541; 4.7151049; 2.3894496; -1.1682420; -0.0043475; 11.9987534; -1.0028117
5.5983968; 4.8990994; 2.4677001; -1.1691292; -0.0045274; 11.9820313; -1.9191304
5.7983396; 5.0831649; 2.5457833; -1.1700626; -0.0048092; 11.9499640; -2.8178265
5.9982823; 5.2673057; 2.6236886; -1.1710672; -0.0052390; 11.9027237; -3.6956915
6.1982251; 5.4515294; 2.7013980; -1.1722066; -0.0061587; 11.8404805; -4.4762999
6.3981678; 5.6358489; 2.7788797; -1.1735422; -0.0072014; 11.7646492; -4.4003553
6.5981105; 5.8202798; 2.8560959; -1.1750863; -0.0082441; 11.6896250; -4.3233558
6.7980533; 6.0048377; 2.9330080; -1.1768389; -0.0092868; 11.6154417; -4.2478611
6.9979960; 6.1895381; 3.0095773; -1.1788000; -0.0103296; 11.5420894; -4.1738621
7.1979388; 6.3743962; 3.0857649; -1.1809696; -0.0113724; 11.4695580; -4.1013481
7.3978815; 6.5594271; 3.1615320; -1.1833477; -0.0124152; 11.3978372; -4.0303067
7.5978243; 6.7446455; 3.2368396; -1.1859342; -0.0134581; 11.3269162; -3.9607245
7.7977670; 6.9300658; 3.3116485; -1.1887294; -0.0145012; 11.2567844; -3.8925868
7.9977098; 7.1157023; 3.3859195; -1.1917331; -0.0155443; 11.1874307; -3.8258778
8.1976525; 7.3015686; 3.4596131; -1.1949453; -0.0165876; 11.1188440; -3.7605807
8.3975952; 7.4876784; 3.5326899; -1.1983662; -0.0176311; 11.0510131; -3.6966777
8.5975380; 7.6740446; 3.6051102; -1.2019958; -0.0186748; 10.9839266; -3.6341502
8.7974807; 7.8606799; 3.6768341; -1.2058340; -0.0197187; 10.9175729; -3.5729791
8.9974235; 8.0475965; 3.7478216; -1.2098810; -0.0207630; 10.8519407; -3.5131444
9.1973662; 8.2348062; 3.8180325; -1.2141368; -0.0218076; 10.7870182; -3.4546254
9.3973090; 8.4223202; 3.8874265; -1.2186016; -0.0228526; 10.7227938; -3.3974011
9.5972517; 8.6101494; 3.9559630; -1.2232753; -0.0238981; 10.6592558; -3.3414498
9.7971944; 8.7983038; 4.0236011; -1.2281581; -0.0249441; 10.5963927; -3.2867495
9.9971372; 8.9867933; 4.0903001; -1.2332501; -0.0259908; 10.5341926; -3.2332775
10.1970799; 9.1756267; 4.1560186; -1.2385515; -0.0270382; 10.4726441; -3.1810112
10.3970227; 9.3648127; 4.2207152; -1.2440623; -0.0280863; 10.4117354; -3.1299272
10.5969654; 9.5543590; 4.2843485; -1.2497829; -0.0291353; 10.3514550; -3.0800020
10.7969082; 9.7442728; 4.3468765; -1.2557132; -0.0301853; 10.2917915; -3.0312117
10.9968509; 9.9345604; 4.4082572; -1.2618536; -0.0312364; 10.2327335; -2.9835323
11.1967937; 10.1252277; 4.4684482; -1.2682043; -0.0322888; 10.1742697; -2.9369394
11.3967364; 10.3162796; 4.5274070; -1.2747655; -0.0333424; 10.1163889; -2.8914083
11.5966791; 10.5077202; 4.5850909; -1.2815375; -0.0343976; 10.0590801; -2.8469143
11.7966219; 10.6995530; 4.6414567; -1.2885207; -0.0354543; 10.0023324; -2.8034320
11.9965646; 10.8917806; 4.6964613; -1.2957153; -0.0365129; 9.9461350; -2.7609363
12.1965074; 11.0844045; 4.7500610; -1.3031218; -0.0375733; 9.8904774; -2.7194015
12.3964501; 11.2774257; 4.8022122; -1.3107405; -0.0386359; 9.8353492; -2.6788018
12.5963929; 11.4708439; 4.8528707; -1.3185719; -0.0397008; 9.7807402; -2.6391109
12.7963356; 11.6646582; 4.9019922; -1.3266164; -0.0407682; 9.7266406; -2.6003026
12.9962784; 11.8588663; 4.9495323; -1.3348747; -0.0418383; 9.6730406; -2.5623501
13.1962211; 12.0534654; 4.9954462; -1.3433472; -0.0429114; 9.6199307; -2.5252262
13.3961638; 12.2484511; 5.0396887; -1.3520345; -0.0439875; 9.5673019; -2.4889037
13.5961066; 12.4438184; 5.0822146; -1.3609374; -0.0450671; 9.5151453; -2.4533547
13.7960493; 12.6395610; 5.1229784; -1.3700565; -0.0461504; 9.4634523; -2.4185509
13.9959921; 12.8356713; 5.1619342; -1.3793925; -0.0472375; 9.4122147; -2.3844637
14.1959348; 13.0321407; 5.1990361; -1.3889463; -0.0483289; 9.3614247; -2.3510639
14.3958776; 13.2289595; 5.2342378; -1.3987188; -0.0494248; 9.3110749; -2.3183214
14.5958203; 13.4261165; 5.2674928; -1.4087109; -0.0505255; 9.2611583; -2.2862061
14.7957630; 13.6235993; 5.2987544; -1.4189236; -0.0516313; 9.2116683; -2.2546866
14.9957058; 13.8213943; 5.3279756; -1.4293579; -0.0527427; 9.1625988; -2.2237311
15.1956485; 14.0194864; 5.3551094; -1.4400150; -0.0538599; 9.1139442; -2.1933067
15.3955913; 14.2178592; 5.3801084; -1.4508961; -0.0549833; 9.0656995; -2.1633797
15.5955340; 14.4164948; 5.4029251; -1.4620025; -0.0561134; 9.0178602; -2.1339154
15.7954768; 14.6153738; 5.4235118; -1.4733355; -0.0572506; 8.9704226; -2.1048778
15.9954195; 14.8144754; 5.4418207; -1.4848966; -0.0583952; 8.9233834; -2.0762298
16.1953623; 15.0137771; 5.4578036; -1.4966874; -0.0595479; 8.8767402; -2.0479326
16.3953050; 15.2132550; 5.4714125; -1.5087095; -0.0607089; 8.8304914; -2.0199463
16.5952477; 15.4128833; 5.4825992; -1.5209647; -0.0618789; 8.7846361; -1.9922289
16.7951905; 15.6126347; 5.4913151; -1.5334546; -0.0630584; 8.7391743; -1.9647369
16.9951332; 15.8124800; 5.4975119; -1.5461814; -0.0642479; 8.6941071; -1.9374244
17.1950760; 16.0123884; 5.5011411; -1.5591471; -0.0654479; 8.6494364; -1.9102435
17.3950187; 16.2123272; 5.5021540; -1.5723539; -0.0666592; 8.6051654; -1.8831436
17.5949615; 16.4122616; 5.5005020; -1.5858040; -0.0678824; 8.5612984; -1.8560717
17.7949042; 16.6121551; 5.4961366; -1.5994999; -0.0691180; 8.5178409; -1.8289713
17.9948469; 16.8119692; 5.4890093; -1.6134442; -0.0703669; 8.4748000; -1.8017831
18.1947897; 17.0116631; 5.4790714; -1.6276395; -0.0716296; 8.4321840; -1.7744438
18.3947324; 17.2111942; 5.4662746; -1.6420888; -0.0729071; 8.3900032; -1.7468862
18.5946752; 17.4105175; 5.4505707; -1.6567950; -0.0742001; 8.3482692; -1.7190386
18.7946179; 17.6095858; 5.4319114; -1.6717614; -0.0755093; 8.3069958; -1.6908246
18.9945607; 17.8083496; 5.4102488; -1.6869913; -0.0768358; 8.2661989; -1.6621622
19.1945034; 18.0067571; 5.3855353; -1.7024882; -0.0781805; 8.2258963; -1.6329636
19.3944462; 18.2047541; 5.3577235; -1.7182558; -0.0795442; 8.1861084; -1.6031343
19.5943889; 18.4022836; 5.3267663; -1.7342981; -0.0809281; 8.1468583; -1.5725727
19.7943316; 18.5992862; 5.2926169; -1.7506192; -0.0823332; 8.1081719; -1.5411690
19.9942744; 18.7956999; 5.2552293; -1.7672234; -0.0837605; 8.0700781; -1.5088047
20.1942171; 18.9914599; 5.2145576; -1.7841154; -0.0852114; 8.0326093; -1.4753513
20.3941599; 19.1864984; 5.1705566; -1.8012999; -0.0866870; 7.9958014; -1.4406697
20.5941026; 19.3807450; 5.1231819; -1.8187820; -0.0881887; 7.9596945; -1.4046085
20.7940454; 19.5741259; 5.0723896; -1.8365670; -0.0897177; 7.9243331; -1.3670029
20.9939881; 19.7665646; 5.0181366; -1.8546607; -0.0912757; 7.8897661; -1.3276733
21.1939309; 19.9579810; 4.9603807; -1.8730689; -0.0928640; 7.8560481; -1.2864237
21.3938736; 20.1482920; 4.8990809; -1.8917978; -0.0944844; 7.8232391; -1.2430394
21.5938163; 20.3374109; 4.8341968; -1.9108541; -0.0961385; 7.7914053; -1.1972854
21.7937591; 20.5252476; 4.7656897; -1.9302446; -0.0978281; 7.7606198; -1.1489039
21.9937018; 20.7117082; 4.6935217; -1.9499766; -0.0995552; 7.7309631; -1.0976114
22.1936446; 20.8966954; 4.6176565; -1.9700579; -0.1013217; 7.7025237; -1.0430962
22.3935873; 21.0801076; 4.5380596; -1.9904965; -0.1031297; 7.6753991; -0.9850144
22.5935301; 21.2618395; 4.4546978; -2.0113009; -0.1049817; 7.6496967; -0.9229870
22.7934728; 21.4417815; 4.3675400; -2.0324802; -0.1068799; 7.6255341; -0.8565944
22.9934155; 21.6198198; 4.2765569; -2.0540438; -0.1088269; 7.6030409; -0.7853728
