# 31e8ed8b-b1dd-4c11-b058-9ba9e38820bd
# e9a19b38e509a0346497c558d966096436d47c65
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.2646946; -0.2185926; 0.8788555; -0.0001868; 12.0000000; 0.0000000
0.1999545; -0.4186591; -0.0910122; 0.8788185; -0.0001835; 12.0000000; 0.0000000
0.3999091; -0.5726188; 0.0365739; 0.8787821; -0.0001801; 12.0000000; 0.0000000
0.5998636; -0.7265740; 0.1641655; 0.8787465; -0.0001768; 12.0000000; 0.0000000
0.7998181; -0.8805247; 0.2917625; 0.8787115; -0.0001734; 12.0000000; 0.0000000
0.9997726; -1.0344709; 0.4193649; 0.8786771; -0.0001701; 12.0000000; 0.0000000
1.1997272; -1.1884128; 0.5469725; 0.8786434; -0.0001667; 12.0000000; 0.0000000
1.3996817; -1.3423505; 0.6745853; 0.8786105; -0.0001633; 12.0000000; 0.0000000
1.5996362; -1.4962839; 0.8022030; 0.8785781; -0.0001600; 12.0000000; 0.0000000
1.7995908; -1.6502133; 0.9298257; 0.8785465; -0.0001566; 12.0000000; 0.0000000
1.9995453; -1.8041387; 1.0574532; 0.8785155; -0.0001533; 12.0000000; 0.0000000
2.1994998; -1.9580602; 1.1850855; 0.8784852; -0.0001499; 12.0000000; 0.0000000
2.3994543; -2.1119779; 1.3127223; 0.8784555; -0.0001465; 12.0000000; 0.0000000
2.5994089; -2.2658918; 1.4403637; 0.8784266; -0.0001432; 12.0000000; 0.0000000
2.7993634; -2.4198021; 1.5680095; 0.8783983; -0.0001398; 12.0000000; 0.0000000
2.9993179; -2.5737088; 1.6956595; 0.8783707; -0.0001365; 12.0000000; 0.0000000
3.1992725; -2.7276120; 1.8233138; 0.8783437; -0.0001331; 12.0000000; 0.0000000
3.3992270; -2.8815118; 1.9509722; 0.8783174; -0.0001298; 12.0000000; 0.0000000
3.5991815; -3.0354083; 2.0786346; 0.8782918; -0.0001264; 12.0000000; 0.0000000
3.7991360; -3.1893016; 2.2063008; 0.8782669; -0.0001230; 12.0000000; 0.0000000
3.9990906; -3.3431917; 2.3339708; 0.8782426; -0.0001197; 12.0000000; 0.0000000
4.1990451; -3.4970788; 2.4616446; 0.8782190; -0.0001163; 12.0000000; 0.0000000
4.3989996; -3.6509629; 2.5893219; 0.8781961; -0.0001130; 12.0000000; 0.0000000
4.5989541; -3.8048442; 2.7170026; 0.8781738; -0.0001096; 12.0000000; 0.0000000
4.7989087; -3.9587226; 2.8446868; 0.8781522; -0.0001063; 12.0000000; 0.0000000
4.9988632; -4.1125983; 2.9723742; 0.8781313; -0.0001029; 12.0000000; 0.0000000
5.1988177; -4.2664714; 3.1000648; 0.8781111; -0.0000995; 12.0000000; 0.0000000
5.3987723; -4.4203420; 3.2277584; 0.8780915; -0.0000962; 12.0000000; 0.0000000
5.5987268; -4.5742100; 3.3554550; 0.8780726; -0.0000928; 12.0000000; 0.0000000
5.7986813; -4.7280758; 3.4831545; 0.8780544; -0.0000895; 12.0000000; 0.0000000
5.9986358; -4.8819392; 3.6108567; 0.8780369; -0.0000861; 12.0000000; 0.0000000
6.1985904; -5.0358005; 3.7385616; 0.8780200; -0.0000827; 12.0000000; 0.0000000
6.3985449; -5.1896596; 3.8662690; 0.8780038; -0.0000794; 12.0000000; 0.0000000
6.5984994; -5.3435167; 3.9939788; 0.8779882; -0.0000760; 12.0000000; 0.0000000
6.7984540; -5.4973718; 4.1216910; 0.8779734; -0.0000727; 12.0000000; 0.0000000
6.9984085; -5.6512251; 4.2494055; 0.8779592; -0.0000693; 12.0000000; 0.0000000
7.1983630; -5.8050767; 4.3771220; 0.8779456; -0.0000660; 12.0000000; 0.0000000
7.3983175; -5.9589265; 4.5048406; 0.8779328; -0.0000626; 12.0000000; 0.0000000
7.5982721; -6.1127748; 4.6325611; 0.8779206; -0.0000592; 12.0000000; 0.0000000
7.7982266; -6.2666215; 4.7602834; 0.8779091; -0.0000559; 12.0000000; 0.0000000
7.9981811; -6.4204668; 4.8880075; 0.8778983; -0.0000525; 12.0000000; 0.0000000
8.1981357; -6.5743108; 5.0157332; 0.8778881; -0.0000492; 12.0000000; 0.0000000
8.3980902; -6.7281535; 5.1434603; 0.8778786; -0.0000458; 12.0000000; 0.0000000
8.5980447; -6.8819951; 5.2711889; 0.8778698; -0.0000424; 12.0000000; 0.0000000
8.7979992; -7.0358355; 5.3989188; 0.8778616; -0.0000391; 12.0000000; 0.0000000
8.9979538; -7.1896750; 5.5266499; 0.8778542; -0.0000357; 12.0000000; 0.0000000
9.1979083; -7.3435135; 5.6543821; 0.8778473; -0.0000324; 12.0000000; 0.0000000
9.3978628; -7.4973512; 5.7821153; 0.8778412; -0.0000290; 12.0000000; 0.0000000
9.5978174; -7.6511882; 5.9098494; 0.8778357; -0.0000257; 12.0000000; 0.0000000
9.7977719; -7.8050246; 6.0375843; 0.8778309; -0.0000223; 12.0000000; 0.0000000
9.9977264; -7.9588603; 6.1653198; 0.8778268; -0.0000189; 12.0000000; 0.0000000
10.1976809; -8.1126956; 6.2930560; 0.8778234; -0.0000156; 12.0000000; 0.0000000
10.3976355; -8.2665305; 6.4207926; 0.8778206; -0.0000122; 12.0000000; 0.0000000
10.5975900; -8.4203650; 6.5485296; 0.8778185; -0.0000089; 12.0000000; 0.0000000
10.7975445; -8.5741994; 6.6762669; 0.8778170; -0.0000055; 12.0000000; 0.0000000
10.9974990; -8.7280335; 6.8040043; 0.8778163; -0.0000021; 12.0000000; 0.0000000
11.1974536; -8.8818677; 6.9317418; 0.8778162; 0.0000012; 12.0000000; 0.0000000
11.3974081; -9.0357019; 7.0594793; 0.8778168; 0.0000046; 12.0000000; 0.0000000
11.5973626; -9.1895361; 7.1872166; 0.8778180; 0.0000079; 12.0000000; 0.0000000
11.7973172; -9.3433706; 7.3149537; 0.8778199; 0.0000113; 12.0000000; 0.0000000
11.9972717; -9.4972054; 7.4426904; 0.8778225; 0.0000146; 12.0000000; 0.0000000
12.1972262; -9.6510406; 7.5704267; 0.8778258; 0.0000180; 12.0000000; 0.0000000
12.3971807; -9.8048762; 7.6981625; 0.8778297; 0.0000214; 12.0000000; 0.0000000
12.5971353; -9.9587123; 7.8258975; 0.8778343; 0.0000247; 12.0000000; 0.0000000
12.7970898; -10.1125491; 7.9536319; 0.8778396; 0.0000281; 12.0000000; 0.0000000
12.9970443; -10.2663866; 8.0813653; 0.8778456; 0.0000314; 12.0000000; 0.0000000
13.1969989; -10.4202249; 8.2090978; 0.8778522; 0.0000348; 12.0000000; 0.0000000
13.3969534; -10.5740641; 8.3368292; 0.8778595; 0.0000381; 12.0000000; 0.0000000
13.5969079; -10.7279043; 8.4645595; 0.8778674; 0.0000415; 12.0000000; 0.0000000
13.7968624; -10.8817455; 8.5922884; 0.8778761; 0.0000449; 12.0000000; 0.0000000
13.9968170; -11.0355879; 8.7200160; 0.8778854; 0.0000482; 12.0000000; 0.0000000
14.1967715; -11.1894315; 8.8477421; 0.8778954; 0.0000516; 12.0000000; 0.0000000
14.3967260; -11.3432765; 8.9754666; 0.8779060; 0.0000549; 12.0000000; 0.0000000
14.5966806; -11.4971228; 9.1031895; 0.8779173; 0.0000583; 12.0000000; 0.0000000
14.7966351; -11.6509706; 9.2309105; 0.8779293; 0.0000617; 12.0000000; 0.0000000
14.9965896; -11.8048200; 9.3586296; 0.8779420; 0.0000650; 12.0000000; 0.0000000
