# 4a071903-d74b-45c1-85e5-4bcc87278fb3
# e9a19b38e509a0346497c558d966096436d47c65
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.1999317; -0.1564137; 2.5576942; -0.0002705; 12.0000000; 0.0000000
0.1999617; 0.0896922; -0.3232428; 2.5576407; -0.0002644; 12.0000000; 0.0000000
0.3999234; -0.0205561; -0.4900660; 2.5575884; -0.0002582; 12.0000000; 0.0000000
0.5998851; -0.1308130; -0.6568835; 2.5575374; -0.0002520; 12.0000000; 0.0000000
0.7998468; -0.2410784; -0.8236955; 2.5574877; -0.0002458; 12.0000000; 0.0000000
0.9998085; -0.3513519; -0.9905020; 2.5574391; -0.0002396; 12.0000000; 0.0000000
1.1997701; -0.4616334; -1.1573033; 2.5573919; -0.0002334; 12.0000000; 0.0000000
1.3997318; -0.5719227; -1.3240994; 2.5573458; -0.0002272; 12.0000000; 0.0000000
1.5996935; -0.6822196; -1.4908905; 2.5573010; -0.0002210; 12.0000000; 0.0000000
1.7996552; -0.7925239; -1.6576768; 2.5572574; -0.0002149; 12.0000000; 0.0000000
1.9996169; -0.9028353; -1.8244583; 2.5572151; -0.0002087; 12.0000000; 0.0000000
2.1995786; -1.0131537; -1.9912352; 2.5571739; -0.0002025; 12.0000000; 0.0000000
2.3995403; -1.1234788; -2.1580076; 2.5571341; -0.0001963; 12.0000000; 0.0000000
2.5995020; -1.2338105; -2.3247757; 2.5570954; -0.0001901; 12.0000000; 0.0000000
2.7994637; -1.3441485; -2.4915396; 2.5570581; -0.0001839; 12.0000000; 0.0000000
2.9994254; -1.4544927; -2.6582994; 2.5570219; -0.0001777; 12.0000000; 0.0000000
3.1993871; -1.5648428; -2.8250553; 2.5569870; -0.0001715; 12.0000000; 0.0000000
3.3993487; -1.6751986; -2.9918075; 2.5569533; -0.0001653; 12.0000000; 0.0000000
3.5993104; -1.7855599; -3.1585560; 2.5569209; -0.0001592; 12.0000000; 0.0000000
3.7992721; -1.8959265; -3.3253009; 2.5568896; -0.0001530; 12.0000000; 0.0000000
3.9992338; -2.0062982; -3.4920425; 2.5568597; -0.0001468; 12.0000000; 0.0000000
4.1991955; -2.1166748; -3.6587809; 2.5568309; -0.0001406; 12.0000000; 0.0000000
4.3991572; -2.2270561; -3.8255161; 2.5568034; -0.0001344; 12.0000000; 0.0000000
4.5991189; -2.3374419; -3.9922484; 2.5567772; -0.0001282; 12.0000000; 0.0000000
4.7990806; -2.4478320; -4.1589779; 2.5567522; -0.0001220; 12.0000000; 0.0000000
4.9990423; -2.5582261; -4.3257047; 2.5567284; -0.0001158; 12.0000000; 0.0000000
5.1990040; -2.6686241; -4.4924289; 2.5567058; -0.0001097; 12.0000000; 0.0000000
5.3989657; -2.7790258; -4.6591507; 2.5566845; -0.0001035; 12.0000000; 0.0000000
5.5989273; -2.8894309; -4.8258702; 2.5566645; -0.0000973; 12.0000000; 0.0000000
5.7988890; -2.9998392; -4.9925875; 2.5566456; -0.0000911; 12.0000000; 0.0000000
5.9988507; -3.1102506; -5.1593029; 2.5566280; -0.0000849; 12.0000000; 0.0000000
6.1988124; -3.2206648; -5.3260163; 2.5566117; -0.0000787; 12.0000000; 0.0000000
