# 05269536-dc58-4dcc-884f-0347397b9793
# e9a19b38e509a0346497c558d966096436d47c65
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.4157513; -0.3219515; 0.4425402; 0.0018062; 11.9922535; 0.4195156
0.1999521; -0.5014110; -0.1412771; 0.4429069; 0.0018615; 11.9992463; 0.0452340
0.3999042; -0.5871380; 0.0393655; 0.4432846; 0.0019167; 12.0000000; 0.0000000
0.5998562; -0.6729342; 0.2199751; 0.4436734; 0.0019720; 12.0000000; 0.0000000
0.7998083; -0.7588015; 0.4005509; 0.4440732; 0.0020273; 12.0000000; 0.0000000
0.9997604; -0.8447421; 0.5810919; 0.4444841; 0.0020825; 12.0000000; 0.0000000
1.1997125; -0.9307579; 0.7615971; 0.4449061; 0.0021378; 12.0000000; 0.0000000
1.3996645; -1.0168508; 0.9420655; 0.4453390; 0.0021931; 12.0000000; 0.0000000
1.5996166; -1.1030228; 1.1224961; 0.4457831; 0.0022484; 12.0000000; 0.0000000
1.7995687; -1.1892759; 1.3028880; 0.4462382; 0.0023036; 12.0000000; 0.0000000
1.9995208; -1.2756121; 1.4832401; 0.4467043; 0.0023589; 12.0000000; 0.0000000
2.1994728; -1.3620334; 1.6635515; 0.4471815; 0.0024142; 12.0000000; 0.0000000
2.3994249; -1.4485417; 1.8438212; 0.4476698; 0.0024695; 12.0000000; 0.0000000
2.5993770; -1.5351390; 2.0240481; 0.4481691; 0.0025247; 12.0000000; 0.0000000
2.7993291; -1.6218273; 2.2042313; 0.4486794; 0.0025800; 12.0000000; 0.0000000
2.9992811; -1.7086085; 2.3843697; 0.4492008; 0.0026353; 12.0000000; 0.0000000
3.1992332; -1.7954846; 2.5644623; 0.4497333; 0.0026906; 12.0000000; 0.0000000
3.3991853; -1.8824576; 2.7445083; 0.4502768; 0.0027458; 12.0000000; 0.0000000
3.5991374; -1.9695295; 2.9245064; 0.4508313; 0.0028011; 12.0000000; 0.0000000
3.7990894; -2.0567021; 3.1044557; 0.4513970; 0.0028564; 12.0000000; 0.0000000
3.9990415; -2.1439775; 3.2843552; 0.4519736; 0.0029117; 12.0000000; 0.0000000
4.1989936; -2.2313576; 3.4642039; 0.4525613; 0.0029670; 12.0000000; 0.0000000
4.3989457; -2.3188444; 3.6440007; 0.4531601; 0.0030222; 12.0000000; 0.0000000
4.5988977; -2.4064399; 3.8237446; 0.4537699; 0.0030775; 12.0000000; 0.0000000
4.7988498; -2.4941459; 4.0034346; 0.4543908; 0.0031328; 12.0000000; 0.0000000
4.9988019; -2.5819645; 4.1830696; 0.4550228; 0.0031881; 12.0000000; 0.0000000
5.1987540; -2.6698975; 4.3626486; 0.4556658; 0.0032434; 12.0000000; 0.0000000
5.3987060; -2.7579470; 4.5421705; 0.4563198; 0.0032987; 12.0000000; 0.0000000
5.5986581; -2.8461149; 4.7216343; 0.4569849; 0.0033539; 12.0000000; 0.0000000
5.7986102; -2.9344031; 4.9010389; 0.4576611; 0.0034092; 12.0000000; 0.0000000
5.9985623; -3.0228136; 5.0803833; 0.4583483; 0.0034645; 12.0000000; 0.0000000
6.1985143; -3.1113484; 5.2596664; 0.4590465; 0.0035198; 12.0000000; 0.0000000
6.3984664; -3.2000092; 5.4388872; 0.4597559; 0.0035751; 12.0000000; 0.0000000
6.5984185; -3.2887982; 5.6180445; 0.4604762; 0.0036304; 12.0000000; 0.0000000
6.7983706; -3.3777172; 5.7971373; 0.4612077; 0.0036857; 12.0000000; 0.0000000
6.9983227; -3.4667682; 5.9761646; 0.4619502; 0.0037410; 12.0000000; 0.0000000
7.1982747; -3.5559530; 6.1551252; 0.4627037; 0.0037963; 12.0000000; 0.0000000
7.3982268; -3.6452737; 6.3340180; 0.4634683; 0.0038516; 12.0000000; 0.0000000
7.5981789; -3.7347321; 6.5128420; 0.4642440; 0.0039069; 12.0000000; 0.0000000
7.7981310; -3.8243302; 6.6915961; 0.4650307; 0.0039622; 12.0000000; 0.0000000
7.9980830; -3.9140699; 6.8702791; 0.4658285; 0.0040176; 12.0000000; 0.0000000
8.1980351; -4.0039531; 7.0488899; 0.4666374; 0.0040729; 12.0000000; 0.0000000
8.3979872; -4.0939817; 7.2274276; 0.4674573; 0.0041282; 12.0000000; 0.0000000
8.5979393; -4.1841576; 7.4058908; 0.4682882; 0.0041835; 12.0000000; -0.6093298
8.7978913; -4.2744829; 7.5842785; 0.4691303; 0.0042388; 11.9898426; -1.5555123
8.9978434; -4.3649592; 7.7625897; 0.4699834; 0.0042941; 11.9638736; -2.5063477
9.1977955; -4.4555887; 7.9408230; 0.4708475; 0.0043495; 11.9219114; -3.4582097
9.3977476; -4.5463731; 8.1189775; 0.4717227; 0.0044048; 11.8637692; -4.4073311
9.5976996; -4.6373144; 8.2970520; 0.4726090; 0.0044602; 11.7892540; -4.7552821
9.7976517; -4.7284144; 8.4750453; 0.4735064; 0.0045155; 11.7083241; -4.7786924
9.9976038; -4.8196752; 8.6529562; 0.4744148; 0.0045708; 11.6264282; -4.8027041
10.1975559; -4.9110985; 8.8307837; 0.4753343; 0.0046262; 11.5435355; -4.8273358
10.3975079; -5.0026862; 9.0085265; 0.4762648; 0.0046815; 11.4596134; -4.8526067
10.5974600; -5.0944403; 9.1861835; 0.4772064; 0.0047369; 11.3746280; -4.8785373
10.7974121; -5.1863626; 9.3637536; 0.4781591; 0.0047922; 11.2885436; -4.9051159
10.9973642; -5.2784550; 9.5412354; 0.4791229; 0.0048476; 11.2013231; -4.9377894
11.1973162; -5.3707194; 9.7186280; 0.4800977; 0.0049027; 11.1128303; -4.9994968
11.3972683; -5.4631560; 9.8959308; 0.4810552; 0.0046731; 11.0225078; -5.1028405
11.5972204; -5.5557513; 10.0731509; 0.4818476; 0.0032521; 10.9295485; -5.1756870
11.7971725; -5.6484577; 10.2503128; 0.4822881; 0.0011533; 10.8344474; -5.2097200
11.9971245; -5.7412045; 10.4274536; 0.4823002; -0.0010322; 10.7378705; -5.2008056
12.1970766; -5.8339147; 10.6046136; 0.4818756; -0.0032146; 10.6405845; -5.1281255
12.3970287; -5.9265111; 10.7818331; 0.4810146; -0.0053969; 10.5437792; -4.9808062
12.5969808; -6.0189161; 10.9591524; 0.4797173; -0.0075792; 10.4488964; -4.8288388
12.7969328; -6.1110523; 11.1366115; 0.4779837; -0.0097616; 10.3560785; -4.6810559
12.9968849; -6.2028420; 11.3142501; 0.4758136; -0.0119440; 10.2653002; -4.5373187
13.1968370; -6.2942071; 11.4921074; 0.4732072; -0.0141264; 10.1765366; -4.3974842
13.3967891; -6.3850695; 11.6702220; 0.4701644; -0.0163089; 10.0897633; -4.2614060
13.5967412; -6.4753506; 11.8486320; 0.4666852; -0.0184916; 10.0049573; -4.1289342
13.7966932; -6.5649714; 12.0273746; 0.4627695; -0.0206745; 9.9220962; -3.9999159
13.9966453; -6.6538525; 12.2064860; 0.4584174; -0.0228577; 9.8411589; -3.8741952
14.1965974; -6.7419141; 12.3860018; 0.4536286; -0.0250414; 9.7621259; -3.7516135
14.3965495; -6.8290756; 12.5659563; 0.4484032; -0.0272257; 9.6849789; -3.6320088
14.5965015; -6.9152563; 12.7463825; 0.4427409; -0.0294107; 9.6097014; -3.5152166
14.7964536; -7.0003744; 12.9273124; 0.4366417; -0.0315967; 9.5362787; -3.4010690
14.9964057; -7.0843476; 13.1087764; 0.4301052; -0.0337839; 9.4646981; -3.2893945
