# d16713ef-182b-4447-ab5c-5f8ca1577526,,,,,,
# e9a19b38e509a0346497c558d966096436d47c65,,,,,,
# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0,-0.7009734,0.3136164,-3.1220523,0.0000384,5,0
0.1999379,-0.697066,0.1137167,-3.1220445,0.0000396,5,0
0.3998758,-0.6931571,-0.086183,-3.1220364,0.0000407,5,0
0.5998137,-0.6892465,-0.2860827,-3.1220282,0.0000419,5,0
0.7997516,-0.6853342,-0.4859823,-3.1220197,0.000043,5,0
0.9996895,-0.6814202,-0.6858819,-3.122011,0.0000442,5,0
1.1996274,-0.6775044,-0.8857814,-3.122002,0.0000453,5,0
1.3995653,-0.6735869,-1.0856809,-3.1219929,0.0000465,5,0
1.5995032,-0.6696674,-1.2855804,-3.1219834,0.0000476,5,0
1.7994411,-0.6657461,-1.4854799,-3.1219738,0.0000488,5,0
1.999379,-0.6618228,-1.6853793,-3.1219639,0.0000499,5,0
2.1993169,-0.6578975,-1.8852786,-3.1219538,0.0000511,5,0
2.3992548,-0.6539702,-2.085178,-3.1219435,0.0000522,5,0
2.5991927,-0.6500408,-2.2850773,-3.121933,0.0000534,5,0
2.7991306,-0.6461093,-2.4849765,-3.1219222,0.0000545,5,0
2.9990685,-0.6421756,-2.6848757,-3.1219111,0.0000557,5,0
3.1990065,-0.6382396,-2.8847749,-3.1218999,0.0000568,5,0
3.3989444,-0.6343014,-3.084674,-3.1218884,0.000058,5,0
3.5988823,-0.6303608,-3.284573,-3.1218767,0.0000591,5,0
3.7988202,-0.6264179,-3.4844721,-3.1218648,0.0000603,5,0
3.9987581,-0.6224726,-3.684371,-3.1218526,0.0000615,5,0
4.198696,-0.6185249,-3.88427,-3.1218402,0.0000626,5,0
4.3986339,-0.6145746,-4.0841688,-3.1218276,0.0000638,5,0
4.5985718,-0.6106218,-4.2840677,-3.1218147,0.0000649,5,0
4.7985097,-0.6066664,-4.4839664,-3.1218016,0.0000661,5,0
4.9984476,-0.6027083,-4.6838652,-3.1217883,0.0000672,5,0
5.1983855,-0.5987476,-4.8837638,-3.1217747,0.0000684,5,0
5.3983234,-0.5947841,-5.0836624,-3.1217609,0.0000695,5,0
5.5982613,-0.5908179,-5.283561,-3.1217469,0.0000707,5,0
5.7981992,-0.5868488,-5.4834595,-3.1217327,0.0000718,5,0
5.9981371,-0.5828768,-5.683358,-3.1217182,0.000073,5,0
6.198075,-0.578902,-5.8832563,-3.1217035,0.0000741,5,0
6.3980129,-0.5749242,-6.0831547,-3.1216886,0.0000753,5,0
6.5979508,-0.5709433,-6.2830529,-3.1216734,0.0000764,5,0
6.7978887,-0.5669595,-6.4829512,-3.121658,0.0000776,5,0
6.9978266,-0.5629725,-6.6828493,-3.1216424,0.0000787,5,0
7.1977645,-0.5589823,-6.8827474,-3.1216265,0.0000799,5,0
7.3977024,-0.554989,-7.0826454,-3.1216104,0.000081,5,0
7.5976403,-0.5509924,-7.2825434,-3.1215941,0.0000822,5,0
7.7975782,-0.5469926,-7.4824412,-3.1215776,0.0000833,5,0
7.9975161,-0.5429894,-7.6823391,-3.1215608,0.0000845,5,0
8.197454,-0.5389829,-7.8822368,-3.1215438,0.0000856,5,0
8.3973919,-0.5349729,-8.0821345,-3.1215266,0.0000868,5,0
8.5973298,-0.5309594,-8.2820321,-3.1215091,0.0000879,5,0
8.7972677,-0.5269425,-8.4819297,-3.1214914,0.0000891,5,0
8.9972056,-0.522922,-8.6818272,-3.1214735,0.0000902,5,0
9.1971435,-0.5188978,-8.8817246,-3.1214553,0.0000914,5,0
9.3970815,-0.5148701,-9.0816219,-3.1214369,0.0000925,5,0
9.5970194,-0.5108386,-9.2815191,-3.1214183,0.0000937,5,0
9.7969573,-0.5068034,-9.4814163,-3.1213995,0.0000949,5,0
9.9968952,-0.5027639,-9.6813134,-3.1213733,0.0001672,5,0
10.1968331,-0.4987158,-9.8812103,-3.1213045,0.0005203,5,0
10.396771,-0.4946466,-10.0811068,-3.1211596,0.0009288,5,0
10.5967089,-0.49054,-10.2810025,-3.1209285,0.0013834,5,0
10.7966468,-0.486378,-10.4808971,-3.1206053,0.0018496,5,0
10.9965847,-0.4821421,-10.6807901,-3.1201896,0.0023084,5,0
11.1965226,-0.477814,-10.8806812,-3.1196828,0.0027618,5,0
11.3964605,-0.4733755,-11.0805698,-3.1190853,0.0032144,5,0
11.5963984,-0.4688086,-11.2804556,-3.1183974,0.003667,5,0
11.7963363,-0.4640951,-11.4803379,-3.117619,0.0041195,5,0
11.9962742,-0.459217,-11.6802163,-3.1167501,0.0045721,5,0
12.1962121,-0.4541562,-11.8800901,-3.1157907,0.0050247,5,0
12.39615,-0.4488945,-12.0799588,-3.1147409,0.0054772,5,0
12.5960879,-0.443414,-12.2798215,-3.1136005,0.0059298,5,0
12.7960258,-0.4376966,-12.4796776,-3.1123697,0.0063824,5,0
12.9959637,-0.4317241,-12.6795263,-3.1110483,0.006835,5,0
13.1959016,-0.4254785,-12.8793666,-3.1096365,0.0072876,5,0
13.3958395,-0.4189418,-13.0791976,-3.1081342,0.0077402,5,0
13.5957774,-0.4120958,-13.2790183,-3.1065414,0.0081928,5,0
13.7957153,-0.4049225,-13.4788274,-3.1048581,0.0086455,5,0
