# 4f4aedfd-2b93-4ca4-ba38-66dafd819454,,,,,,
# e9a19b38e509a0346497c558d966096436d47c65,,,,,,
# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0,-0.2335962,0.3193263,-3.1233312,0.0000068,5,0
0.1999936,-0.2299441,0.1193661,-3.1233297,0.0000087,5,0
0.3999871,-0.2262916,-0.0805941,-3.1233277,0.0000106,5,0
0.5999807,-0.2226387,-0.2805543,-3.1233254,0.0000125,5,0
0.7999743,-0.2189854,-0.4805145,-3.1233228,0.0000144,5,0
0.9999678,-0.2153314,-0.6804747,-3.1233197,0.0000163,5,0
1.1999614,-0.2116768,-0.8804349,-3.1233162,0.0000182,5,0
1.399955,-0.2080214,-1.080395,-3.1233124,0.0000201,5,0
1.5999486,-0.2043653,-1.2803552,-3.1233082,0.000022,5,0
1.7999421,-0.2007083,-1.4803153,-3.1233036,0.0000239,5,0
1.9999357,-0.1970503,-1.6802754,-3.1232986,0.0000258,5,0
2.1999293,-0.1933913,-1.8802355,-3.1232933,0.0000277,5,0
2.3999228,-0.1897312,-2.0801956,-3.1232875,0.0000296,5,0
2.5999164,-0.1860699,-2.2801557,-3.1232814,0.0000315,5,0
2.79991,-0.1824073,-2.4801157,-3.1232749,0.0000334,5,0
2.9999035,-0.1787434,-2.6800757,-3.1232681,0.0000353,5,0
3.1998971,-0.1750781,-2.8800357,-3.1232608,0.0000372,5,0
3.3998907,-0.1714113,-3.0799956,-3.1232532,0.0000391,5,0
3.5998842,-0.1677429,-3.2799555,-3.1232451,0.000041,5,0
3.7998778,-0.1640729,-3.4799154,-3.1232367,0.000043,5,0
3.9998714,-0.1604012,-3.6798753,-3.123228,0.0000449,5,0
4.199865,-0.1567276,-3.8798351,-3.1232188,0.0000468,5,0
4.3998585,-0.1530523,-4.0797949,-3.1232093,0.0000487,5,0
4.5998521,-0.1493749,-4.2797547,-3.1231993,0.0000506,5,0
4.7998457,-0.1456956,-4.4797144,-3.123189,0.0000525,5,0
4.9998392,-0.1420141,-4.6796741,-3.1231784,0.0000544,5,0
5.1998328,-0.1383305,-4.8796337,-3.1231673,0.0000563,5,0
5.3998264,-0.1346446,-5.0795933,-3.1231558,0.0000582,5,0
5.5998199,-0.1309564,-5.2795529,-3.123144,0.0000601,5,0
5.7998135,-0.1272658,-5.4795124,-3.1231318,0.000062,5,0
5.9998071,-0.1235727,-5.6794719,-3.1231192,0.0000639,5,0
6.1998006,-0.119877,-5.8794313,-3.1231062,0.0000658,5,0
6.3997942,-0.1161787,-6.0793906,-3.1230929,0.0000677,5,0
6.5997878,-0.1124777,-6.27935,-3.1230792,0.0000696,5,0
6.7997813,-0.108774,-6.4793092,-3.123065,0.0000715,5,0
6.9997749,-0.1050673,-6.6792685,-3.1230506,0.0000734,5,0
7.1997685,-0.1013578,-6.8792276,-3.1230357,0.0000753,5,0
7.3997621,-0.0976452,-7.0791867,-3.1230204,0.0000772,5,0
7.5997556,-0.0939295,-7.2791458,-3.1230048,0.0000791,5,0
7.7997492,-0.0902107,-7.4791048,-3.1229888,0.000081,5,0
7.9997428,-0.0864886,-7.6790637,-3.1229724,0.0000829,5,0
8.1997363,-0.0827632,-7.8790226,-3.1229556,0.0000849,5,0
8.3997299,-0.0790344,-8.0789814,-3.1229384,0.0000868,5,0
8.5997235,-0.0753022,-8.2789401,-3.1229209,0.0000887,5,0
8.799717,-0.0715664,-8.4788988,-3.122903,0.0000906,5,0
8.9997106,-0.0678269,-8.6788574,-3.1228847,0.0000925,5,0
9.1997042,-0.0640838,-8.8788159,-3.122866,0.0000944,5,0
9.3996977,-0.0603369,-9.0787744,-3.1228469,0.0000963,5,0
9.5996913,-0.0565862,-9.2787328,-3.1228275,0.0000982,5,0
9.7996849,-0.0528315,-9.4786911,-3.1228076,0.0001001,5,0
9.9996785,-0.0490728,-9.6786494,-3.1227874,0.000102,5,0
10.199672,-0.0453101,-9.8786075,-3.1227668,0.0001039,5,0
10.3996656,-0.0415432,-10.0785656,-3.1227459,0.0001058,5,0
10.5996592,-0.037772,-10.2785236,-3.1227245,0.0001077,5,0
10.7996527,-0.0339966,-10.4784816,-3.1227028,0.0001096,5,0
10.9996463,-0.0302168,-10.6784394,-3.1226807,0.0001115,5,0
11.1996399,-0.0264325,-10.8783972,-3.1226582,0.0001134,5,0
11.3996334,-0.0226436,-11.0783548,-3.1226353,0.0001153,5,0
11.599627,-0.0188502,-11.2783124,-3.1226121,0.0001172,5,0
11.7996206,-0.0150521,-11.4782699,-3.1225884,0.0001191,5,0
11.9996141,-0.0112492,-11.6782273,-3.1225644,0.000121,5,0
12.1996077,-0.0074415,-11.8781847,-3.12254,0.0001229,5,0
12.3996013,-0.0036288,-12.0781419,-3.1225152,0.0001248,5,0
12.5995949,0.0001888,-12.278099,-3.1224901,0.0001268,5,0
12.7995884,0.0040115,-12.478056,-3.1224645,0.0001287,5,0
12.999582,0.0078394,-12.678013,-3.1224386,0.0001306,5,0
13.1995756,0.0116724,-12.8779698,-3.1224123,0.0001325,5,0
13.3995691,0.0155108,-13.0779265,-3.1223856,0.0001344,5,0
13.5995627,0.0193546,-13.2778832,-3.1223586,0.0001363,5,0
13.7995563,0.0232037,-13.4778397,-3.1223311,0.0001382,5,0
13.9995498,0.0270585,-13.6777961,-3.1223033,0.0001401,5,0
14.1995434,0.0309188,-13.8777524,-3.1222751,0.000142,5,0
14.399537,0.0347848,-14.0777086,-3.1222465,0.0001439,5,0
14.5995305,0.0386565,-14.2776647,-3.1222175,0.0001458,5,0
14.7995241,0.0425347,-14.4776207,-3.1221794,0.0002356,5,0
14.9995177,0.0464249,-14.6775764,-3.1220842,0.0007166,5,0
15.1995113,0.0503453,-14.8775315,-3.1218688,0.001437,5,0
15.3995048,0.0543234,-15.0774855,-3.1215071,0.0021806,5,0
15.5994984,0.0583887,-15.2774378,-3.120997,0.0029202,5,0
15.799492,0.0625707,-15.4773876,-3.1203391,0.0036599,5,0
15.9994855,0.066899,-15.6773344,-3.1195331,0.0043995,5,0
16.1994791,0.0714033,-15.8772772,-3.1185793,0.0051391,5,0
16.3994727,0.0761131,-16.0772153,-3.1174776,0.0058788,5,0
16.5994662,0.081058,-16.2771477,-3.1162279,0.0066184,5,0
16.7994598,0.0862675,-16.4770734,-3.1148303,0.0073581,5,0
16.9994534,0.0917712,-16.6769912,-3.1132848,0.0080977,5,0
17.1994469,0.0975986,-16.8768998,-3.1115913,0.0088374,5,0
17.3994405,0.1037794,-17.0767978,-3.1097499,0.0095772,5,0
17.5994341,0.110343,-17.2766836,-3.1077605,0.010317,5,0
17.7994277,0.117319,-17.4765555,-3.1056232,0.0110568,5,0
17.9994212,0.124737,-17.6764114,-3.103338,0.0117967,5,0
18.1994148,0.1326265,-17.8762492,-3.1009047,0.0125366,5,0
18.3994084,0.141017,-18.0760666,-3.0983235,0.0132766,5,0
18.5994019,0.1499381,-18.2758611,-3.0955942,0.0140168,5,0
18.7993955,0.1594192,-18.4756297,-3.0927169,0.014757,5,0
18.9993891,0.1694898,-18.6753695,-3.0896916,0.0154974,5,0
19.1993826,0.1801794,-18.8750771,-3.0865182,0.016238,5,0
19.3993762,0.1915176,-19.0747489,-3.0831966,0.0169787,5,0
19.5993698,0.2035336,-19.2743811,-3.0797269,0.0177196,5,0
19.7993633,0.2162571,-19.4739694,-3.076109,0.0184608,5,0
19.9993569,0.2297174,-19.6735094,-3.0723428,0.0192022,5,0
20.1993505,0.2439438,-19.8729962,-3.0684283,0.0199439,5,0
20.399344,0.2589659,-20.0724247,-3.0643654,0.020686,5,0
20.5993376,0.2748128,-20.2717892,-3.0601541,0.0214284,5,0
20.7993312,0.291514,-20.4710841,-3.0557943,0.0221712,5,0
20.9993248,0.3090987,-20.6703029,-3.0512859,0.0229145,5,0
21.1993183,0.3275962,-20.869439,-3.0466288,0.0236583,5,0
21.3993119,0.3470357,-21.0684854,-3.0418229,0.0244026,5,0
21.5993055,0.3674464,-21.2674345,-3.036868,0.0251475,5,0
21.799299,0.3888574,-21.4662785,-3.0317642,0.025893,5,0
21.9992926,0.4112978,-21.6650088,-3.0265111,0.0266393,5,0
22.1992862,0.4347966,-21.8636168,-3.0211088,0.0273863,5,0
22.3992797,0.4593829,-22.0620931,-3.0155569,0.0281341,5,0
22.5992733,0.4850856,-22.2604279,-3.0098554,0.0288829,5,0
22.7992669,0.5119335,-22.4586109,-3.0040041,0.0296326,5,0
22.9992604,0.5399554,-22.6566313,-2.9980027,0.0303834,5,0
23.199254,0.56918,-22.8544778,-2.991851,0.0311354,5,0
23.3992476,0.5996361,-23.0521384,-2.9855488,0.0318885,5,0
23.5992412,0.6313521,-23.2496008,-2.9790959,0.032643,5,0
23.7992347,0.6643565,-23.4468519,-2.972492,0.0333988,5,0
23.9992283,0.6986777,-23.6438781,-2.9657367,0.0341562,5,0
24.1992219,0.734344,-23.8406653,-2.9588298,0.0349151,5,0
24.3992154,0.7713836,-24.0371985,-2.951771,0.0356758,5,0
24.599209,0.8098244,-24.2334625,-2.9445598,0.0364383,5,0
24.7992026,0.8496945,-24.4294412,-2.937196,0.0372027,5,0
24.9991961,0.8910216,-24.6251177,-2.9296791,0.0379692,5,0
