# 24cea505-0b67-48cb-9460-a62d070cadfb
# e9a19b38e509a0346497c558d966096436d47c65
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.2244350; -0.1428800; 0.8049083; 0.0002958; 12.0000000; 0.0000000
0.1999882; -0.3685841; -0.0042570; 0.8049675; 0.0002964; 12.0000000; 0.0000000
0.3999765; -0.5127413; 0.1343575; 0.8050269; 0.0002971; 12.0000000; 0.0000000
0.5999647; -0.6569068; 0.2729634; 0.8050864; 0.0002977; 12.0000000; 0.0000000
0.7999529; -0.8010806; 0.4115607; 0.8051460; 0.0002984; 12.0000000; 0.0000000
0.9999411; -0.9452626; 0.5501495; 0.8052057; 0.0002991; 12.0000000; 0.0000000
1.1999294; -1.0894529; 0.6887296; 0.8052656; 0.0002997; 12.0000000; 0.0000000
1.3999176; -1.2336515; 0.8273011; 0.8053256; 0.0003004; 12.0000000; 0.0000000
1.5999058; -1.3778584; 0.9658639; 0.8053857; 0.0003010; 12.0000000; 0.0000000
1.7998940; -1.5220737; 1.1044180; 0.8054460; 0.0003017; 12.0000000; 0.0000000
1.9998823; -1.6662973; 1.2429634; 0.8055064; 0.0003023; 12.0000000; 0.0000000
2.1998705; -1.8105293; 1.3815001; 0.8055669; 0.0003030; 12.0000000; 0.0000000
2.3998587; -1.9547697; 1.5200281; 0.8056276; 0.0003036; 12.0000000; 0.0000000
2.5998469; -2.0990186; 1.6585473; 0.8056884; 0.0003043; 12.0000000; 0.0000000
2.7998352; -2.2432758; 1.7970577; 0.8057493; 0.0003050; 12.0000000; 0.0000000
2.9998234; -2.3875415; 1.9355593; 0.8058104; 0.0003056; 12.0000000; 0.0000000
3.1998116; -2.5318157; 2.0740521; 0.8058715; 0.0003063; 12.0000000; 0.0000000
3.3997998; -2.6760983; 2.2125361; 0.8059329; 0.0003069; 12.0000000; 0.0000000
3.5997881; -2.8203894; 2.3510112; 0.8059943; 0.0003076; 12.0000000; 0.0000000
3.7997763; -2.9646891; 2.4894775; 0.8060559; 0.0003082; 12.0000000; 0.0000000
3.9997645; -3.1089973; 2.6279348; 0.8061176; 0.0003089; 12.0000000; 0.0000000
4.1997527; -3.2533140; 2.7663832; 0.8061794; 0.0003095; 12.0000000; 0.0000000
4.3997410; -3.3976393; 2.9048227; 0.8062414; 0.0003102; 12.0000000; 0.0000000
4.5997292; -3.5419732; 3.0432533; 0.8063035; 0.0003109; 12.0000000; 0.0000000
4.7997174; -3.6863157; 3.1816749; 0.8063657; 0.0003115; 12.0000000; 0.0000000
4.9997056; -3.8306669; 3.3200874; 0.8064281; 0.0003122; 12.0000000; 0.0000000
5.1996939; -3.9750266; 3.4584910; 0.8064906; 0.0003128; 12.0000000; 0.0000000
5.3996821; -4.1193951; 3.5968855; 0.8065532; 0.0003135; 12.0000000; 0.0000000
5.5996703; -4.2637722; 3.7352710; 0.8066160; 0.0003141; 12.0000000; 0.0000000
5.7996586; -4.4081580; 3.8736474; 0.8066789; 0.0003148; 12.0000000; 0.0000000
5.9996468; -4.5525525; 4.0120148; 0.8067419; 0.0003154; 12.0000000; 0.0000000
6.1996350; -4.6969557; 4.1503730; 0.8068050; 0.0003161; 12.0000000; 0.0000000
6.3996232; -4.8413677; 4.2887221; 0.8068683; 0.0003167; 12.0000000; 0.0000000
6.5996115; -4.9857885; 4.4270620; 0.8069317; 0.0003174; 12.0000000; 0.0000000
6.7995997; -5.1302180; 4.5653928; 0.8069953; 0.0003181; 12.0000000; 0.0000000
6.9995879; -5.2746563; 4.7037143; 0.8070589; 0.0003187; 12.0000000; 0.0000000
7.1995761; -5.4191035; 4.8420267; 0.8071227; 0.0003194; 12.0000000; 0.0000000
7.3995644; -5.5635594; 4.9803299; 0.8071867; 0.0003200; 12.0000000; 0.0000000
7.5995526; -5.7080243; 5.1186238; 0.8072507; 0.0003207; 12.0000000; 0.0000000
7.7995408; -5.8524980; 5.2569084; 0.8073149; 0.0003213; 12.0000000; 0.0000000
7.9995290; -5.9969805; 5.3951838; 0.8073793; 0.0003220; 12.0000000; 0.0000000
8.1995173; -6.1414720; 5.5334498; 0.8074437; 0.0003226; 12.0000000; 0.0000000
