# 35e232b6-6f50-4656-80f2-c8f94a8e7abf
# e9a19b38e509a0346497c558d966096436d47c65
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.1010996; 0.3187542; -1.7254473; 0.0008467; 12.0000000; 0.0000000
0.1999403; 0.2986563; 0.2879730; -1.7252783; 0.0008435; 12.0000000; 0.0000000
0.3998806; 0.4962181; 0.2572252; -1.7251100; 0.0008403; 12.0000000; 0.0000000
0.5998208; 0.6937851; 0.2265106; -1.7249423; 0.0008371; 12.0000000; 0.0000000
0.7997611; 0.8913573; 0.1958290; -1.7247753; 0.0008339; 12.0000000; 0.0000000
0.9997014; 1.0889346; 0.1651804; -1.7246089; 0.0008306; 12.0000000; 0.0000000
1.1996417; 1.2865169; 0.1345645; -1.7244431; 0.0008274; 12.0000000; 0.0000000
1.3995820; 1.4841043; 0.1039814; -1.7242780; 0.0008242; 12.0000000; 0.0000000
1.5995222; 1.6816968; 0.0734308; -1.7241135; 0.0008210; 12.0000000; 0.0000000
1.7994625; 1.8792943; 0.0429127; -1.7239497; 0.0008178; 12.0000000; 0.0000000
1.9994028; 2.0768967; 0.0124269; -1.7237865; 0.0008145; 12.0000000; 0.0000000
2.1993431; 2.2745041; -0.0180268; -1.7236240; 0.0008113; 12.0000000; 0.0000000
2.3992833; 2.4721165; -0.0484484; -1.7234621; 0.0008081; 12.0000000; 0.0000000
2.5992236; 2.6697337; -0.0788380; -1.7233009; 0.0008049; 12.0000000; 0.0000000
2.7991639; 2.8673559; -0.1091959; -1.7231403; 0.0008016; 12.0000000; 0.0000000
2.9991042; 3.0649829; -0.1395221; -1.7229803; 0.0007984; 12.0000000; 0.0000000
3.1990445; 3.2626148; -0.1698167; -1.7228210; 0.0007952; 12.0000000; 0.0000000
3.3989847; 3.4602514; -0.2000799; -1.7226623; 0.0007920; 12.0000000; 0.0000000
3.5989250; 3.6578929; -0.2303118; -1.7225043; 0.0007888; 12.0000000; 0.0000000
3.7988653; 3.8555391; -0.2605126; -1.7223469; 0.0007855; 12.0000000; 0.0000000
