# 78c05990-9487-4944-bc2a-f79bedcfe816
# e9a19b38e509a0346497c558d966096436d47c65
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0572386; 0.0283007; -2.9670987; -0.0176417; 11.9872920; -1.3315813
0.1999509; 0.0916009; -0.1686754; -2.9706832; -0.0182123; 11.9650603; -1.9559442
0.3999018; 0.1252457; -0.3657752; -2.9743819; -0.0187832; 11.9323293; -2.5714032
0.5998528; 0.1581500; -0.5630000; -2.9781947; -0.0193544; 11.8891621; -3.1148946
0.7998037; 0.1902908; -0.7603507; -2.9821217; -0.0199258; 11.8366601; -3.0825398
0.9997546; 0.2216451; -0.9578279; -2.9861631; -0.0204976; 11.7844732; -3.0507576
1.1997055; 0.2521897; -1.1554319; -2.9903188; -0.0210697; 11.7325958; -3.0195456
1.3996564; 0.2819016; -1.3531628; -2.9945889; -0.0216421; 11.6810224; -2.9889011
1.5996074; 0.3107576; -1.5510204; -2.9989735; -0.0222150; 11.6297470; -2.9588214
1.7995583; 0.3387344; -1.7490042; -3.0034727; -0.0227883; 11.5787641; -2.9293037
1.9995092; 0.3658088; -1.9471135; -3.0080866; -0.0233621; 11.5280677; -2.9003450
2.1994601; 0.3919574; -2.1453471; -3.0128153; -0.0239364; 11.4776518; -2.8719420
2.3994111; 0.4171570; -2.3437035; -3.0176589; -0.0245113; 11.4275105; -2.8440918
2.5993620; 0.4413842; -2.5421810; -3.0226175; -0.0250867; 11.3776376; -2.8167909
2.7993129; 0.4646155; -2.7407776; -3.0276911; -0.0256628; 11.3280271; -2.7900360
2.9992638; 0.4868274; -2.9394907; -3.0328801; -0.0262395; 11.2786727; -2.7638238
3.1992147; 0.5079964; -3.1383177; -3.0381844; -0.0268170; 11.2295681; -2.7381508
3.3991657; 0.5280990; -3.3372552; -3.0436043; -0.0273952; 11.1807070; -2.7130136
3.5991166; 0.5471116; -3.5362999; -3.0491399; -0.0279743; 11.1320829; -2.6884086
3.7990675; 0.5650105; -3.7354479; -3.0547913; -0.0285542; 11.0836893; -2.6643324
3.9990184; 0.5817721; -3.9346947; -3.0605588; -0.0291351; 11.0355198; -2.6407816
4.1989693; 0.5973727; -4.1340358; -3.0664425; -0.0297169; 10.9875677; -2.6177526
4.3989203; 0.6117886; -4.3334661; -3.0724427; -0.0302998; 10.9398264; -2.5952420
4.5988712; 0.6249960; -4.5329800; -3.0785595; -0.0308838; 10.8922890; -2.5732464
4.7988221; 0.6369710; -4.7325717; -3.0847933; -0.0314690; 10.8449487; -2.5517626
4.9987730; 0.6476900; -4.9322348; -3.0911442; -0.0320555; 10.7977988; -2.5307876
5.1987239; 0.6571290; -5.1319624; -3.0976124; -0.0326432; 10.7508321; -2.5115812
5.3986749; 0.6652641; -5.3317474; -3.1041983; -0.0332324; 10.7040182; -2.4966669
5.5986258; 0.6720716; -5.5315821; -3.1109022; -0.0338230; 10.6572784; -2.4881914
5.7985767; 0.6775279; -5.7314582; -3.1177175; -0.0343472; 10.6104925; -2.4898459
5.9985276; 0.6816131; -5.9313669; -3.1246114; -0.0346088; 10.5634681; -2.5115726
6.1984786; 0.6843162; -6.1312992; -3.1315369; -0.0346625; 10.5158202; -2.5544206
6.3984295; 0.6856372; -6.3312454; -3.1384184; -0.0341702; 10.4671370; -2.6171346
6.5983804; 0.6855930; -6.5311959; 3.1379965; -0.0335501; 10.4170226; -2.7025472
6.7983313; 0.6842079; -6.7311417; 3.1313575; -0.0328571; 10.3650184; -2.8081228
6.9982822; 0.6815111; -6.9310740; 3.1248848; -0.0318851; 10.3107048; -2.9240295
7.1982332; 0.6775401; -7.1309852; 3.1186131; -0.0308482; 10.2538436; -3.0479144
7.3981841; 0.6723362; -7.3308681; 3.1125485; -0.0298124; 10.1942357; -3.1784525
7.5981350; 0.6659408; -7.5307164; 3.1066909; -0.0287778; 10.1317014; -3.3106893
7.7980859; 0.6583956; -7.7305247; 3.1010401; -0.0277441; 10.0661523; -3.4434227
7.9980368; 0.6497421; -7.9302880; 3.0955960; -0.0267113; 9.9975193; -3.5766016
8.1979878; 0.6400218; -8.1300023; 3.0903582; -0.0256792; 9.9257293; -3.7101725
8.3979387; 0.6292761; -8.3296640; 3.0853268; -0.0246478; 9.8507054; -3.8440799
8.5978896; 0.6175466; -8.5292704; 3.0805015; -0.0236170; 9.7723663; -3.9782659
8.7978405; 0.6048746; -8.7288192; 3.0758822; -0.0225867; 9.6906257; -4.1126709
8.9977914; 0.5913016; -8.9283088; 3.0714690; -0.0215569; 9.6053923; -4.2472336
9.1977424; 0.5768688; -9.1277380; 3.0672616; -0.0205274; 9.5165690; -4.3818823
9.3976933; 0.5616176; -9.3271063; 3.0632600; -0.0194983; 9.4240523; -4.5173008
9.5976442; 0.5455892; -9.5264136; 3.0594641; -0.0184695; 9.3277160; -4.6561060
9.7975951; 0.5288252; -9.7256604; 3.0558791; -0.0173897; 9.2273669; -4.7987058
9.9975461; 0.5113698; -9.9248479; 3.0525280; -0.0161293; 9.1227895; -4.9448812
10.1974970; 0.4932723; -10.1239780; 3.0494330; -0.0148290; 9.0137574; -5.0944023
10.3974479; 0.4745844; -10.3230537; 3.0465979; -0.0135288; 8.9000315; -5.2463066
10.5973988; 0.4553581; -10.5220780; 3.0440227; -0.0122288; 8.7813754; -5.3978075
10.7973497; 0.4356452; -10.7210548; 3.0417076; -0.0109288; 8.6575955; -5.5482239
10.9973007; 0.4154975; -10.9199880; 3.0396523; -0.0096289; 8.5284943; -5.6974893
11.1972516; 0.3949669; -11.1188821; 3.0378571; -0.0083278; 8.3938536; -5.8454994
11.3972025; 0.3741051; -11.3177417; 3.0363224; -0.0070229; 8.2534328; -5.9921454
11.5971534; 0.3529641; -11.5165719; 3.0350487; -0.0057172; 8.1069651; -6.1373290
11.7971043; 0.3315958; -11.7153777; 3.0340361; -0.0044115; 7.9541532; -6.2809509
11.9970553; 0.3100522; -11.9141646; 3.0332845; -0.0031058; 7.7946642; -6.4230736
12.1970062; 0.2883851; -12.1129381; 3.0327940; -0.0018001; 7.6281184; -6.5466884
12.3969571; 0.2666465; -12.3117038; 3.0325646; -0.0004945; 7.4545394; -6.6433934
12.5969080; 0.2448883; -12.5104674; 3.0325963; 0.0008111; 7.2741634; -6.7158889
12.7968589; 0.2231622; -12.7092345; 3.0328890; 0.0021167; 7.0871543; -6.7670933
12.9968099; 0.2015203; -12.9080107; 3.0334428; 0.0034222; 6.8935900; -6.8000016
13.1967608; 0.1800145; -13.1068017; 3.0342576; 0.0047278; 6.6934483; -6.8327858
13.3967117; 0.1586965; -13.3056130; 3.0353334; 0.0060333; 6.4861241; -6.8760946
13.5966626; 0.1376184; -13.5044498; 3.0366703; 0.0073387; 6.2705696; -6.8421723
13.7966136; 0.1168321; -13.7033173; 3.0382682; 0.0086474; 6.0484582; -6.6486646
13.9965645; 0.0964036; -13.9022219; 3.0403379; 0.0120679; 5.8245200; -6.3046125
14.1965154; 0.0765317; -14.1011828; 3.0442515; 0.0270954; 5.6039100; -5.8355204
14.3964663; 0.0578383; -14.3002574; 3.0526848; 0.0572615; 5.3916761; -5.2620452
14.5964172; 0.0414449; -14.4995333; 3.0674437; 0.0903645; 5.1928672; -4.6726598
14.7963682; 0.0286547; -14.6990709; 3.0888221; 0.1234773; 5.0097170; -4.1463348
14.9963191; 0.0207946; -14.8988608; 3.1168245; 0.1566290; 4.8413983; -3.6843223
15.1962700; 0.0191946; -15.0987953; -3.1317211; 0.1898826; 4.6867655; -3.2719666
15.3962209; 0.0251853; -15.2986424; -3.0904135; 0.2233482; 4.5450308; -2.8943769
15.5961718; 0.0400926; -15.4980176; -3.0423805; 0.2571879; 4.4158621; -2.5351259
15.7961228; 0.0652297; -15.6963570; -2.9875250; 0.2916362; 4.2995391; -2.1744461
