# 85242173-2f76-4931-b925-73c674b15563
# e9a19b38e509a0346497c558d966096436d47c65
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.1332226; 0.0676999; -0.0669933; -0.0031460; 12.0000000; 0.0000000
0.1999905; -0.1197720; 0.2672375; -0.0676194; -0.0031152; 12.0000000; 0.0000000
0.3999810; -0.1061972; 0.4667668; -0.0682393; -0.0030845; 12.0000000; 0.0000000
0.5999715; -0.0924992; 0.6662876; -0.0688531; -0.0030537; 12.0000000; 0.0000000
0.7999620; -0.0786794; 0.8658001; -0.0694607; -0.0030230; 12.0000000; 0.0000000
0.9999526; -0.0647390; 1.0653041; -0.0700622; -0.0029922; 12.0000000; 0.0000000
1.1999431; -0.0506792; 1.2647998; -0.0706576; -0.0029615; 12.0000000; 0.0000000
1.3999336; -0.0365012; 1.4642871; -0.0712467; -0.0029307; 12.0000000; 0.0000000
1.5999241; -0.0222063; 1.6637661; -0.0718298; -0.0029000; 12.0000000; 0.0000000
1.7999146; -0.0077958; 1.8632368; -0.0724067; -0.0028692; 12.0000000; 0.0000000
1.9999051; 0.0067293; 2.0626991; -0.0729774; -0.0028385; 12.0000000; 0.0000000
2.1998956; 0.0213675; 2.2621532; -0.0735420; -0.0028078; 12.0000000; 0.0000000
2.3998861; 0.0361178; 2.4615990; -0.0741005; -0.0027770; 12.0000000; 0.0000000
2.5998766; 0.0509788; 2.6610366; -0.0746528; -0.0027463; 12.0000000; 0.0000000
2.7998671; 0.0659493; 2.8604660; -0.0751989; -0.0027155; 12.0000000; 0.0000000
2.9998577; 0.0810282; 3.0598872; -0.0757390; -0.0026848; 12.0000000; 0.0000000
3.1998482; 0.0962141; 3.2593003; -0.0762728; -0.0026541; 12.0000000; 0.0000000
3.3998387; 0.1115059; 3.4587054; -0.0768005; -0.0026233; 12.0000000; 0.0000000
3.5998292; 0.1269023; 3.6581023; -0.0773221; -0.0025926; 12.0000000; 0.0000000
3.7998197; 0.1424020; 3.8574913; -0.0778375; -0.0025619; 12.0000000; 0.0000000
3.9998102; 0.1580039; 4.0568723; -0.0783468; -0.0025311; 12.0000000; 0.0000000
4.1998007; 0.1737068; 4.2562454; -0.0788499; -0.0025004; 12.0000000; 0.0000000
4.3997912; 0.1895093; 4.4556106; -0.0793469; -0.0024697; 12.0000000; 0.0000000
4.5997817; 0.2054104; 4.6549679; -0.0798378; -0.0024389; 12.0000000; 0.0000000
4.7997722; 0.2214086; 4.8543175; -0.0803224; -0.0024082; 12.0000000; 0.0000000
4.9997628; 0.2375029; 5.0536594; -0.0808010; -0.0023775; 12.0000000; 0.0000000
