# 33dbd966-b6ff-4689-ae56-3bd2ee8223b6
# e9a19b38e509a0346497c558d966096436d47c65
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.3646541; 0.1420288; -0.1083391; 0.0001426; 9.8334386; 3.3084769
0.1998794; 0.3862637; 0.3407366; -0.1083106; 0.0001423; 9.9004600; 3.2643134
0.3997587; 0.4078676; 0.5394450; -0.1082822; 0.0001420; 9.9661450; 3.2209627
0.5996381; 0.4294659; 0.7381540; -0.1082538; 0.0001417; 10.0305360; 3.1784005
0.7995175; 0.4510586; 0.9368637; -0.1082256; 0.0001414; 10.0936736; 3.1366041
0.9993969; 0.4726456; 1.1355739; -0.1081973; 0.0001411; 10.1555961; 3.0955515
1.1992762; 0.4942270; 1.3342848; -0.1081691; 0.0001408; 10.2163401; 3.0552219
1.3991556; 0.5158029; 1.5329962; -0.1081410; 0.0001405; 10.2759407; 3.0155952
1.5990350; 0.5373732; 1.7317083; -0.1081130; 0.0001402; 10.3344312; 2.9766525
1.7989144; 0.5589379; 1.9304210; -0.1080850; 0.0001399; 10.3918435; 2.9383754
1.9987937; 0.5804970; 2.1291343; -0.1080570; 0.0001396; 10.4482081; 2.9007463
2.1986731; 0.6020506; 2.3278482; -0.1080291; 0.0001393; 10.5035542; 2.8637486
2.3985525; 0.6235986; 2.5265626; -0.1080013; 0.0001390; 10.5579098; 2.8273662
2.5984319; 0.6451412; 2.7252777; -0.1079736; 0.0001387; 10.6113017; 2.7915834
2.7983112; 0.6666782; 2.9239934; -0.1079459; 0.0001384; 10.6637556; 2.7563856
2.9981906; 0.6882097; 3.1227097; -0.1079182; 0.0001382; 10.7152962; 2.7217583
3.1980700; 0.7097358; 3.3214265; -0.1078906; 0.0001379; 10.7659472; 2.6876878
3.3979494; 0.7312563; 3.5201440; -0.1078631; 0.0001376; 10.8157314; 2.6541609
3.5978287; 0.7527714; 3.7188621; -0.1078356; 0.0001373; 10.8646707; 2.6211649
3.7977081; 0.7742811; 3.9175807; -0.1078082; 0.0001370; 10.9127862; 2.5886873
3.9975875; 0.7957853; 4.1162999; -0.1077809; 0.0001367; 10.9600983; 2.5567164
4.1974669; 0.8172841; 4.3150198; -0.1077536; 0.0001364; 11.0066264; 2.5252407
4.3973462; 0.8387774; 4.5137402; -0.1077264; 0.0001361; 11.0523894; 2.4942491
4.5972256; 0.8602654; 4.7124611; -0.1076992; 0.0001358; 11.0974055; 2.4637310
4.7971050; 0.8817480; 4.9111827; -0.1076721; 0.0001355; 11.1416923; 2.4336760
4.9969844; 0.9032251; 5.1099049; -0.1076450; 0.0001352; 11.1852667; 2.4040741
5.1968637; 0.9246969; 5.3086276; -0.1076181; 0.0001349; 11.2281450; 2.3749157
5.3967431; 0.9461634; 5.5073509; -0.1075911; 0.0001346; 11.2703431; 2.3461914
5.5966225; 0.9676245; 5.7060748; -0.1075642; 0.0001343; 11.3118762; 2.3178922
5.7965019; 0.9890803; 5.9047993; -0.1075374; 0.0001340; 11.3527592; 2.2900092
5.9963812; 1.0105307; 6.1035243; -0.1075107; 0.0001337; 11.3930063; 2.2625339
6.1962606; 1.0319759; 6.3022499; -0.1074840; 0.0001334; 11.4326314; 2.2354582
6.3961400; 1.0534157; 6.5009761; -0.1074573; 0.0001331; 11.4716478; 2.2087739
6.5960194; 1.0748503; 6.6997029; -0.1074308; 0.0001328; 11.5100687; 2.1824734
6.7958987; 1.0962795; 6.8984302; -0.1074042; 0.0001325; 11.5479065; 2.1565491
6.9957781; 1.1177036; 7.0971581; -0.1073778; 0.0001322; 11.5851734; 2.1309936
7.1956575; 1.1391223; 7.2958866; -0.1073514; 0.0001319; 11.6218814; 2.1057999
7.3955369; 1.1605358; 7.4946156; -0.1073250; 0.0001316; 11.6580418; 2.0809610
7.5954162; 1.1819441; 7.6933452; -0.1072988; 0.0001313; 11.6936658; 2.0564702
7.7952956; 1.2033472; 7.8920753; -0.1072725; 0.0001310; 11.7287643; 2.0323209
7.9951750; 1.2247451; 8.0908061; -0.1072464; 0.0001307; 11.7633478; 2.0085069
