# 7eee56ed-c971-46a1-9c82-802f1d2bf621
# e9a19b38e509a0346497c558d966096436d47c65
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.3049524; -0.1837088; -2.8757831; -0.0008131; 12.0000000; 0.0000000
0.1999034; -0.2524552; -0.3765958; -2.8759440; -0.0007960; 12.0000000; 0.0000000
0.3998068; -0.1999888; -0.5694912; -2.8761014; -0.0007789; 12.0000000; 0.0000000
0.5997102; -0.1475524; -0.7623948; -2.8762554; -0.0007618; 12.0000000; 0.0000000
0.7996136; -0.0951453; -0.9553064; -2.8764059; -0.0007447; 12.0000000; 0.0000000
0.9995170; -0.0427670; -1.1482258; -2.8765531; -0.0007276; 12.0000000; 0.0000000
1.1994204; 0.0095833; -1.3411527; -2.8766968; -0.0007105; 12.0000000; 0.0000000
1.3993238; 0.0619061; -1.5340872; -2.8768371; -0.0006934; 12.0000000; 0.0000000
1.5992272; 0.1142023; -1.7270288; -2.8769740; -0.0006763; 12.0000000; 0.0000000
1.7991306; 0.1664723; -1.9199776; -2.8771075; -0.0006591; 12.0000000; 0.0000000
1.9990340; 0.2187169; -2.1129332; -2.8772376; -0.0006420; 12.0000000; 0.0000000
2.1989374; 0.2709368; -2.3058955; -2.8773642; -0.0006249; 12.0000000; 0.0000000
2.3988408; 0.3231325; -2.4988643; -2.8774874; -0.0006078; 12.0000000; 0.0000000
2.5987443; 0.3753048; -2.6918395; -2.8776072; -0.0005907; 12.0000000; 0.0000000
2.7986477; 0.4274543; -2.8848209; -2.8777236; -0.0005736; 12.0000000; 0.0000000
2.9985511; 0.4795817; -3.0778082; -2.8778366; -0.0005565; 12.0000000; 0.0000000
3.1984545; 0.5316876; -3.2708013; -2.8779461; -0.0005394; 12.0000000; 0.0000000
3.3983579; 0.5837727; -3.4638001; -2.8780522; -0.0005223; 12.0000000; 0.0000000
3.5982613; 0.6358376; -3.6568042; -2.8781549; -0.0005052; 12.0000000; 0.0000000
3.7981647; 0.6878831; -3.8498137; -2.8782542; -0.0004881; 12.0000000; 0.0000000
3.9980681; 0.7399097; -4.0428282; -2.8783500; -0.0004710; 12.0000000; 0.0000000
4.1979715; 0.7919182; -4.2358476; -2.8784425; -0.0004538; 12.0000000; 0.0000000
4.3978749; 0.8439091; -4.4288717; -2.8785315; -0.0004367; 12.0000000; 0.0000000
