# f6ea95a5-23d9-4712-9854-5e3eb24f5d16
# e9a19b38e509a0346497c558d966096436d47c65
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0213466; 0.1508818; 1.6686535; 0.0000205; 12.0000000; 0.0000000
0.1999554; -0.2203454; 0.1313455; 1.6686574; 0.0000182; 12.0000000; 0.0000000
0.3999109; -0.4193441; 0.1118085; 1.6686608; 0.0000159; 12.0000000; 0.0000000
0.5998663; -0.6183428; 0.0922709; 1.6686638; 0.0000136; 12.0000000; 0.0000000
0.7998218; -0.8173414; 0.0727327; 1.6686663; 0.0000113; 12.0000000; 0.0000000
0.9997772; -1.0163399; 0.0531941; 1.6686683; 0.0000090; 12.0000000; 0.0000000
1.1997327; -1.2153385; 0.0336552; 1.6686698; 0.0000067; 12.0000000; 0.0000000
1.3996881; -1.4143369; 0.0141159; 1.6686710; 0.0000044; 12.0000000; 0.0000000
1.5996436; -1.6133354; -0.0054235; 1.6686716; 0.0000021; 12.0000000; 0.0000000
1.7995990; -1.8123339; -0.0249630; 1.6686718; -0.0000003; 12.0000000; 0.0000000
1.9995545; -2.0113324; -0.0445024; 1.6686715; -0.0000026; 12.0000000; 0.0000000
2.1995099; -2.2103308; -0.0640418; 1.6686707; -0.0000049; 12.0000000; 0.0000000
2.3994654; -2.4093293; -0.0835810; 1.6686695; -0.0000072; 12.0000000; 0.0000000
2.5994208; -2.6083279; -0.1031199; 1.6686679; -0.0000095; 12.0000000; 0.0000000
2.7993763; -2.8073264; -0.1226584; 1.6686657; -0.0000118; 12.0000000; 0.0000000
2.9993317; -3.0063250; -0.1421964; 1.6686632; -0.0000141; 12.0000000; 0.0000000
3.1992872; -3.2053237; -0.1617339; 1.6686601; -0.0000164; 12.0000000; 0.0000000
3.3992426; -3.4043224; -0.1812708; 1.6686566; -0.0000187; 12.0000000; 0.0000000
3.5991981; -3.6033212; -0.2008068; 1.6686526; -0.0000210; 12.0000000; 0.0000000
3.7991535; -3.8023201; -0.2203421; 1.6686482; -0.0000234; 12.0000000; 0.0000000
3.9991090; -4.0013191; -0.2398764; 1.6686433; -0.0000257; 12.0000000; 0.0000000
4.1990644; -4.2003181; -0.2594097; 1.6686379; -0.0000280; 12.0000000; 0.0000000
4.3990199; -4.3993173; -0.2789419; 1.6686321; -0.0000303; 12.0000000; 0.0000000
4.5989753; -4.5983166; -0.2984729; 1.6686258; -0.0000326; 12.0000000; 0.0000000
4.7989308; -4.7973161; -0.3180026; 1.6686191; -0.0000349; 12.0000000; 0.0000000
4.9988862; -4.9963156; -0.3375309; 1.6686118; -0.0000372; 12.0000000; 0.0000000
5.1988417; -5.1953153; -0.3570577; 1.6686042; -0.0000395; 12.0000000; 0.0000000
5.3987971; -5.3943152; -0.3765829; 1.6685960; -0.0000418; 12.0000000; 0.0000000
5.5987526; -5.5933152; -0.3961065; 1.6685874; -0.0000441; 12.0000000; 0.0000000
5.7987080; -5.7923154; -0.4156283; 1.6685784; -0.0000464; 12.0000000; 0.0000000
5.9986635; -5.9913158; -0.4351483; 1.6685689; -0.0000488; 12.0000000; 0.0000000
6.1986189; -6.1903164; -0.4546663; 1.6685589; -0.0000511; 12.0000000; 0.0000000
6.3985743; -6.3893172; -0.4741823; 1.6685484; -0.0000534; 12.0000000; 0.0000000
6.5985298; -6.5883181; -0.4936962; 1.6685375; -0.0000557; 12.0000000; 0.0000000
6.7984852; -6.7873193; -0.5132079; 1.6685262; -0.0000580; 12.0000000; 0.0000000
6.9984407; -6.9863208; -0.5327172; 1.6685144; -0.0000603; 12.0000000; 0.0000000
7.1983961; -7.1853224; -0.5522242; 1.6685021; -0.0000626; 12.0000000; 0.0000000
7.3983516; -7.3843243; -0.5717287; 1.6684893; -0.0000649; 12.0000000; 0.0000000
7.5983070; -7.5833265; -0.5912305; 1.6684761; -0.0000672; 12.0000000; 0.0000000
7.7982625; -7.7823289; -0.6107297; 1.6684624; -0.0000695; 12.0000000; 0.0000000
7.9982179; -7.9813316; -0.6302262; 1.6684483; -0.0000719; 12.0000000; 0.0000000
8.1981734; -8.1803345; -0.6497198; 1.6684337; -0.0000742; 12.0000000; 0.0000000
8.3981288; -8.3793378; -0.6692104; 1.6684186; -0.0000765; 12.0000000; 0.0000000
8.5980843; -8.5783414; -0.6886980; 1.6684031; -0.0000788; 12.0000000; 0.0000000
8.7980397; -8.7773452; -0.7081824; 1.6683871; -0.0000811; 12.0000000; 0.0000000
8.9979952; -8.9763494; -0.7276636; 1.6683707; -0.0000834; 12.0000000; 0.0000000
9.1979506; -9.1753539; -0.7471415; 1.6683538; -0.0000857; 12.0000000; 0.0000000
9.3979061; -9.3743587; -0.7666160; 1.6683364; -0.0000880; 12.0000000; 0.0000000
