# ac6180ec-3737-4d89-9905-077b30c7f40b
# e9a19b38e509a0346497c558d966096436d47c65
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.1752507; 0.1018782; 0.5884172; 0.0011205; 10.9490458; 2.5641884
0.1999285; 0.0642630; 0.2681704; 0.5886373; 0.0010815; 10.9957679; 2.5325895
0.3998569; -0.0467607; 0.4344387; 0.5888497; 0.0010425; 11.0417202; 2.5014776
0.5997854; -0.1578191; 0.6006838; 0.5890542; 0.0010035; 11.0869211; 2.4708418
0.7997139; -0.2689107; 0.7669066; 0.5892509; 0.0009645; 11.1313881; 2.4406718
0.9996423; -0.3800345; 0.9331080; 0.5894398; 0.0009255; 11.1751386; 2.4109574
1.1995708; -0.4911890; 1.0992889; 0.5896210; 0.0008864; 11.2181888; 2.3816889
1.3994993; -0.6023729; 1.2654500; 0.5897943; 0.0008474; 11.2605548; 2.3528569
1.5994277; -0.7135850; 1.4315923; 0.5899598; 0.0008084; 11.3022520; 2.3244523
1.7993562; -0.8248239; 1.5977166; 0.5901175; 0.0007694; 11.3432953; 2.2964662
1.9992847; -0.9360884; 1.7638238; 0.5902675; 0.0007304; 11.3836992; 2.2688899
2.1992131; -1.0473772; 1.9299148; 0.5904096; 0.0006914; 11.4234775; 2.2417153
2.3991416; -1.1586889; 2.0959904; 0.5905439; 0.0006524; 11.4626438; 2.2149342
2.5990701; -1.2700223; 2.2620514; 0.5906705; 0.0006134; 11.5012113; 2.1885388
2.7989985; -1.3813760; 2.4280988; 0.5907892; 0.0005744; 11.5391925; 2.1625215
2.9989270; -1.4927488; 2.5941334; 0.5909001; 0.0005353; 11.5765998; 2.1368750
3.1988555; -1.6041394; 2.7601561; 0.5910033; 0.0004963; 11.6134451; 2.1115919
3.3987839; -1.7155464; 2.9261678; 0.5910986; 0.0004573; 11.6497400; 2.0866655
3.5987124; -1.8269686; 3.0921692; 0.5911861; 0.0004183; 11.6854957; 2.0620889
3.7986409; -1.9384047; 3.2581613; 0.5912659; 0.0003793; 11.7207231; 2.0378555
3.9985693; -2.0498534; 3.4241450; 0.5913378; 0.0003403; 11.7554328; 2.0139589
4.1984978; -2.1613134; 3.5901211; 0.5914019; 0.0003013; 11.7896351; 1.9903929
4.3984263; -2.2727834; 3.7560905; 0.5914583; 0.0002623; 11.8233400; 1.9671514
4.5983548; -2.3842620; 3.9220540; 0.5915068; 0.0002233; 11.8565571; 1.9442285
