# f7e5da05-8278-45e3-addc-d0e77afba985
# e9a19b38e509a0346497c558d966096436d47c65
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0891253; -0.3143562; 1.8331064; 0.0002277; 12.0000000; 0.0000000
0.1999300; -0.1039646; -0.3662048; 1.8331516; 0.0002248; 12.0000000; 0.0000000
0.3998600; -0.2970522; -0.4180622; 1.8331963; 0.0002219; 12.0000000; 0.0000000
0.5997900; -0.4901375; -0.4699281; 1.8332403; 0.0002190; 12.0000000; 0.0000000
0.7997200; -0.6832205; -0.5218025; 1.8332838; 0.0002161; 12.0000000; 0.0000000
0.9996500; -0.8763013; -0.5736852; 1.8333268; 0.0002132; 12.0000000; 0.0000000
1.1995800; -1.0693798; -0.6255762; 1.8333691; 0.0002103; 12.0000000; 0.0000000
1.3995100; -1.2624562; -0.6774752; 1.8334108; 0.0002074; 12.0000000; 0.0000000
1.5994400; -1.4555304; -0.7293823; 1.8334520; 0.0002045; 12.0000000; 0.0000000
1.7993700; -1.6486025; -0.7812973; 1.8334926; 0.0002016; 12.0000000; 0.0000000
1.9992999; -1.8416726; -0.8332200; 1.8335326; 0.0001987; 12.0000000; 0.0000000
2.1992299; -2.0347405; -0.8851504; 1.8335720; 0.0001958; 12.0000000; 0.0000000
2.3991599; -2.2278064; -0.9370884; 1.8336109; 0.0001929; 12.0000000; 0.0000000
2.5990899; -2.4208703; -0.9890338; 1.8336492; 0.0001900; 12.0000000; 0.0000000
2.7990199; -2.6139323; -1.0409866; 1.8336869; 0.0001871; 12.0000000; 0.0000000
2.9989499; -2.8069923; -1.0929465; 1.8337240; 0.0001842; 12.0000000; 0.0000000
3.1988799; -3.0000504; -1.1449136; 1.8337605; 0.0001813; 12.0000000; 0.0000000
3.3988099; -3.1931066; -1.1968877; 1.8337964; 0.0001783; 12.0000000; 0.0000000
3.5987399; -3.3861609; -1.2488686; 1.8338318; 0.0001754; 12.0000000; 0.0000000
3.7986699; -3.5792135; -1.3008564; 1.8338666; 0.0001725; 12.0000000; 0.0000000
3.9985999; -3.7722642; -1.3528507; 1.8339008; 0.0001696; 12.0000000; 0.0000000
4.1985299; -3.9653132; -1.4048517; 1.8339344; 0.0001667; 12.0000000; 0.0000000
4.3984599; -4.1583604; -1.4568590; 1.8339675; 0.0001638; 12.0000000; 0.0000000
4.5983899; -4.3514060; -1.5088727; 1.8339999; 0.0001609; 12.0000000; 0.0000000
4.7983199; -4.5444498; -1.5608926; 1.8340318; 0.0001580; 12.0000000; 0.0000000
4.9982499; -4.7374920; -1.6129186; 1.8340631; 0.0001551; 12.0000000; 0.0000000
5.1981799; -4.9305326; -1.6649506; 1.8340938; 0.0001522; 12.0000000; 0.0000000
5.3981099; -5.1235717; -1.7169885; 1.8341240; 0.0001493; 12.0000000; 0.0000000
5.5980398; -5.3166091; -1.7690321; 1.8341535; 0.0001464; 12.0000000; 0.0000000
5.7979698; -5.5096451; -1.8210814; 1.8341825; 0.0001435; 12.0000000; 0.0000000
5.9978998; -5.7026795; -1.8731362; 1.8342109; 0.0001406; 12.0000000; 0.0000000
6.1978298; -5.8957125; -1.9251965; 1.8342387; 0.0001377; 12.0000000; 0.0000000
6.3977598; -6.0887441; -1.9772620; 1.8342660; 0.0001348; 12.0000000; 0.0000000
6.5976898; -6.2817742; -2.0293328; 1.8342926; 0.0001319; 12.0000000; 0.0000000
6.7976198; -6.4748030; -2.0814086; 1.8343187; 0.0001290; 12.0000000; 0.0000000
6.9975498; -6.6678304; -2.1334895; 1.8343442; 0.0001261; 12.0000000; 0.0000000
7.1974798; -6.8608565; -2.1855751; 1.8343691; 0.0001232; 12.0000000; 0.0000000
7.3974098; -7.0538814; -2.2376656; 1.8343935; 0.0001203; 12.0000000; 0.0000000
7.5973398; -7.2469050; -2.2897607; 1.8344172; 0.0001174; 12.0000000; 0.0000000
7.7972698; -7.4399273; -2.3418603; 1.8344404; 0.0001145; 12.0000000; 0.0000000
7.9971998; -7.6329485; -2.3939643; 1.8344630; 0.0001116; 12.0000000; 0.0000000
8.1971298; -7.8259685; -2.4460727; 1.8344850; 0.0001087; 12.0000000; 0.0000000
8.3970598; -8.0189874; -2.4981852; 1.8345065; 0.0001058; 12.0000000; 0.0000000
8.5969898; -8.2120052; -2.5503018; 1.8345273; 0.0001029; 12.0000000; 0.0000000
8.7969198; -8.4050219; -2.6024224; 1.8345476; 0.0001000; 12.0000000; 0.0000000
8.9968498; -8.5980375; -2.6545468; 1.8345673; 0.0000970; 12.0000000; 0.0000000
9.1967797; -8.7910522; -2.7066750; 1.8345864; 0.0000941; 12.0000000; 0.0000000
9.3967097; -8.9840658; -2.7588068; 1.8346049; 0.0000912; 12.0000000; 0.0000000
9.5966397; -9.1770786; -2.8109422; 1.8346229; 0.0000883; 12.0000000; 0.0000000
9.7965697; -9.3700903; -2.8630809; 1.8346402; 0.0000854; 12.0000000; 0.0000000
9.9964997; -9.5631013; -2.9152230; 1.8346570; 0.0000825; 12.0000000; 0.0000000
10.1964297; -9.7561113; -2.9673682; 1.8346732; 0.0000796; 12.0000000; 0.0000000
10.3963597; -9.9491205; -3.0195165; 1.8346889; 0.0000767; 12.0000000; 0.0000000
10.5962897; -10.1421289; -3.0716678; 1.8347039; 0.0000738; 12.0000000; 0.0000000
10.7962197; -10.3351366; -3.1238219; 1.8347184; 0.0000709; 12.0000000; 0.0000000
10.9961497; -10.5281435; -3.1759787; 1.8347323; 0.0000680; 12.0000000; 0.0000000
11.1960797; -10.7211497; -3.2281382; 1.8347456; 0.0000651; 12.0000000; 0.0000000
11.3960097; -10.9141552; -3.2803002; 1.8347583; 0.0000622; 12.0000000; 0.0000000
11.5959397; -11.1071601; -3.3324646; 1.8347705; 0.0000593; 12.0000000; 0.0000000
11.7958697; -11.3001643; -3.3846313; 1.8347820; 0.0000564; 12.0000000; 0.0000000
11.9957997; -11.4931680; -3.4368001; 1.8347930; 0.0000535; 12.0000000; 0.0000000
12.1957297; -11.6861711; -3.4889710; 1.8348034; 0.0000506; 12.0000000; 0.0000000
12.3956597; -11.8791737; -3.5411439; 1.8348132; 0.0000477; 12.0000000; 0.0000000
12.5955897; -12.0721757; -3.5933186; 1.8348225; 0.0000448; 12.0000000; 0.0000000
