# 05d9b53b-8314-49a5-bbe7-5de6f79941b9
# e9a19b38e509a0346497c558d966096436d47c65
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0260322; 0.2560319; -1.4659335; -0.0028948; 9.8979071; 3.2659972
0.1999092; 0.2248493; 0.2768995; -1.4665060; -0.0028335; 9.9636524; 3.2226091
0.3998184; 0.4236782; 0.2976544; -1.4670664; -0.0027723; 10.0281019; 3.1800108
0.5997276; 0.6225185; 0.3182991; -1.4676145; -0.0027111; 10.0912960; 3.1381794
0.7996368; 0.8213700; 0.3388360; -1.4681503; -0.0026499; 10.1532732; 3.0970928
0.9995460; 1.0202324; 0.3592676; -1.4686739; -0.0025887; 10.2140703; 3.0567301
1.1994552; 1.2191053; 0.3795963; -1.4691853; -0.0025275; 10.2737222; 3.0170714
1.3993644; 1.4179884; 0.3998245; -1.4696845; -0.0024663; 10.3322625; 2.9780975
1.5992736; 1.6168815; 0.4199547; -1.4701714; -0.0024051; 10.3897232; 2.9397900
1.7991828; 1.8157843; 0.4399892; -1.4706461; -0.0023439; 10.4461347; 2.9021316
1.9990920; 2.0146964; 0.4599305; -1.4711085; -0.0022826; 10.5015263; 2.8651052
2.1990012; 2.2136176; 0.4797810; -1.4715587; -0.0022214; 10.5559262; 2.8286948
2.3989104; 2.4125476; 0.4995432; -1.4719967; -0.0021602; 10.6093610; 2.7928850
2.5988196; 2.6114861; 0.5192195; -1.4724224; -0.0020990; 10.6618567; 2.7576607
2.7987288; 2.8104329; 0.5388123; -1.4728359; -0.0020378; 10.7134379; 2.7230076
2.9986380; 3.0093876; 0.5583241; -1.4732372; -0.0019766; 10.7641284; 2.6889121
3.1985472; 3.2083500; 0.5777573; -1.4736262; -0.0019154; 10.8139510; 2.6553607
3.3984564; 3.4073198; 0.5971142; -1.4740030; -0.0018542; 10.8629277; 2.6223408
3.5983656; 3.6062968; 0.6163974; -1.4743675; -0.0017930; 10.9110796; 2.5898400
3.7982748; 3.8052807; 0.6356093; -1.4747199; -0.0017318; 10.9584271; 2.5578464
3.9981841; 4.0042713; 0.6547523; -1.4750599; -0.0016706; 11.0049897; 2.5263486
4.1980933; 4.2032682; 0.6738288; -1.4753878; -0.0016094; 11.0507864; 2.4953354
4.3980025; 4.4022713; 0.6928414; -1.4757034; -0.0015482; 11.0958353; 2.4647962
4.5979117; 4.6012802; 0.7117923; -1.4760068; -0.0014870; 11.1401540; 2.4347206
4.7978209; 4.8002947; 0.7306840; -1.4762979; -0.0014258; 11.1837595; 2.4050986
4.9977301; 4.9993147; 0.7495191; -1.4765768; -0.0013646; 11.2266682; 2.3759205
5.1976393; 5.1983397; 0.7682998; -1.4768435; -0.0013034; 11.2688960; 2.3471770
5.3975485; 5.3973696; 0.7870287; -1.4770980; -0.0012422; 11.3104580; 2.3188590
5.5974577; 5.5964042; 0.8057082; -1.4773402; -0.0011810; 11.3513692; 2.2909576
5.7973669; 5.7954432; 0.8243407; -1.4775701; -0.0011198; 11.3916439; 2.2634645
5.9972761; 5.9944864; 0.8429286; -1.4777879; -0.0010586; 11.4312959; 2.2363712
6.1971853; 6.1935335; 0.8614744; -1.4779934; -0.0009974; 11.4703386; 2.2096698
6.3970945; 6.3925842; 0.8799805; -1.4781866; -0.0009362; 11.5087851; 2.1833525
6.5970037; 6.5916385; 0.8984493; -1.4783676; -0.0008749; 11.5466480; 2.1574118
6.7969129; 6.7906960; 0.9168834; -1.4785364; -0.0008137; 11.5839394; 2.1318402
6.9968221; 6.9897564; 0.9352851; -1.4786930; -0.0007525; 11.6206713; 2.1066308
7.1967313; 7.1888196; 0.9536568; -1.4788373; -0.0006913; 11.6568551; 2.0817765
7.3966405; 7.3878854; 0.9720010; -1.4789694; -0.0006301; 11.6925020; 2.0572706
7.5965497; 7.5869535; 0.9903201; -1.4790893; -0.0005689; 11.7276229; 2.0331067
7.7964589; 7.7860236; 1.0086166; -1.4791969; -0.0005077; 11.7622282; 2.0092782
7.9963681; 7.9850957; 1.0268929; -1.4792923; -0.0004465; 11.7963282; 1.9857790
8.1962773; 8.1841693; 1.0451514; -1.4793754; -0.0003853; 11.8299327; 1.9626031
8.3961865; 8.3832444; 1.0633945; -1.4794463; -0.0003241; 11.8630516; 1.9397446
8.5960957; 8.5823206; 1.0816248; -1.4795050; -0.0002629; 11.8956941; 1.9171978
8.7960049; 8.7813978; 1.0998446; -1.4795514; -0.0002017; 11.9278695; 1.6304258
8.9959141; 8.9804757; 1.1180564; -1.4795856; -0.0001405; 11.9551639; 1.2430530
9.1958233; 9.1795541; 1.1362626; -1.4796076; -0.0000793; 11.9759317; 0.8592475
9.3957325; 9.3786329; 1.1544656; -1.4796174; -0.0000181; 11.9902662; 0.4795568
9.5956417; 9.5777117; 1.1726680; -1.4796149; 0.0000431; 11.9982590; 0.1045010
9.7955509; 9.7767903; 1.1908720; -1.4796001; 0.0001043; 12.0000000; 0.0000000
9.9954601; 9.9758685; 1.2090802; -1.4795732; 0.0001655; 12.0000000; 0.0000000
10.1953693; 10.1749462; 1.2272949; -1.4795340; 0.0002267; 12.0000000; 0.0000000
10.3952785; 10.3740230; 1.2455187; -1.4794825; 0.0002879; 12.0000000; 0.0000000
10.5951877; 10.5730988; 1.2637540; -1.4794188; 0.0003491; 12.0000000; 0.0000000
10.7950969; 10.7721733; 1.2820031; -1.4793429; 0.0004103; 12.0000000; 0.0000000
10.9950061; 10.9712463; 1.3002686; -1.4792548; 0.0004715; 12.0000000; 0.0000000
11.1949153; 11.1703176; 1.3185528; -1.4791544; 0.0005327; 12.0000000; 0.0000000
11.3948245; 11.3693869; 1.3368583; -1.4790418; 0.0005939; 12.0000000; 0.0000000
11.5947337; 11.5684541; 1.3551873; -1.4789170; 0.0006551; 12.0000000; 0.0000000
11.7946430; 11.7675189; 1.3735425; -1.4787799; 0.0007163; 12.0000000; 0.0000000
11.9945522; 11.9665810; 1.3919261; -1.4786306; 0.0007775; 12.0000000; 0.0000000
12.1944614; 12.1656402; 1.4103407; -1.4784690; 0.0008387; 12.0000000; 0.0000000
12.3943706; 12.3646964; 1.4287887; -1.4782952; 0.0008999; 12.0000000; 0.0000000
12.5942798; 12.5637493; 1.4472724; -1.4781092; 0.0009611; 12.0000000; 0.0000000
12.7941890; 12.7627986; 1.4657945; -1.4779109; 0.0010223; 12.0000000; 0.0000000
12.9940982; 12.9618441; 1.4843572; -1.4777004; 0.0010835; 12.0000000; 0.0000000
13.1940074; 13.1608856; 1.5029630; -1.4774777; 0.0011447; 12.0000000; 0.0000000
13.3939166; 13.3599228; 1.5216143; -1.4772428; 0.0012059; 12.0000000; 0.0000000
13.5938258; 13.5589555; 1.5403137; -1.4769956; 0.0012672; 12.0000000; 0.0000000
13.7937350; 13.7579835; 1.5590635; -1.4767361; 0.0013284; 12.0000000; 0.0000000
13.9936442; 13.9570065; 1.5778661; -1.4764645; 0.0013896; 12.0000000; 0.0000000
14.1935534; 14.1560242; 1.5967240; -1.4761806; 0.0014508; 12.0000000; 0.0000000
14.3934626; 14.3550365; 1.6156396; -1.4758844; 0.0015120; 12.0000000; 0.0000000
14.5933718; 14.5540431; 1.6346154; -1.4755760; 0.0015732; 12.0000000; 0.0000000
14.7932810; 14.7530437; 1.6536537; -1.4752554; 0.0016344; 12.0000000; 0.0000000
14.9931902; 14.9520380; 1.6727571; -1.4749226; 0.0016956; 12.0000000; 0.0000000
15.1930994; 15.1510259; 1.6919279; -1.4745775; 0.0017568; 12.0000000; 0.0000000
15.3930086; 15.3500070; 1.7111686; -1.4742202; 0.0018180; 12.0000000; -0.6624282
15.5929178; 15.5489811; 1.7304817; -1.4738506; 0.0018792; 11.9889595; -1.6592768
15.7928270; 15.7479479; 1.7498694; -1.4734689; 0.0019404; 11.9612600; -2.6604843
15.9927362; 15.9469072; 1.7693344; -1.4730748; 0.0020016; 11.9167122; -3.6620100
16.1926454; 16.1458587; 1.7888789; -1.4726686; 0.0020628; 11.8551208; -4.6596576
16.3925546; 16.3448022; 1.8085055; -1.4722501; 0.0021240; 11.7762844; -5.0037013
16.5924638; 16.5437372; 1.8282166; -1.4718194; 0.0021852; 11.6910351; -5.0259488
16.7923730; 16.7426637; 1.8480146; -1.4713764; 0.0022464; 11.6047764; -5.0487952
16.9922822; 16.9415812; 1.8679019; -1.4709212; 0.0023076; 11.5174751; -5.0722600
17.1921914; 17.1404895; 1.8878809; -1.4704538; 0.0023688; 11.4290967; -5.0963635
17.3921006; 17.3393884; 1.9079542; -1.4699741; 0.0024301; 11.3396045; -5.1211271
17.5920098; 17.5382775; 1.9281241; -1.4694822; 0.0024913; 11.2489604; -5.1465730
17.7919190; 17.7371565; 1.9483930; -1.4689780; 0.0025525; 11.1571239; -5.1727246
17.9918282; 17.9360251; 1.9687634; -1.4684616; 0.0026137; 11.0640528; -5.1996064
18.1917374; 18.1348831; 1.9892377; -1.4679330; 0.0026749; 10.9697022; -5.2272441
18.3916466; 18.3337301; 2.0098184; -1.4673922; 0.0027361; 10.8740249; -5.2556648
