# bef0d0e0-6e82-43e0-b944-af3577bd3011,,,,,,
# 9c72984ecd81d3bf4a1d2f2fc1bf0928978ec7c1,,,,,,
# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0,0.047274,0.0171722,-1.5675007,0.0008797,5.6325684,0.0053005
0.1999156,0.2471884,0.0178463,-1.5673606,0.0005216,5.6327565,0.0046874
0.3998311,0.4471027,0.0185412,-1.5672921,0.0001635,5.6329229,0.0041452
0.5997467,0.6470171,0.0192426,-1.5672952,-0.0001946,5.63307,0.0036657
0.7996622,0.8469314,0.0199363,-1.5673699,-0.0005527,5.6332001,0.0032417
0.9995778,1.0468458,0.0206078,-1.5675162,-0.0009108,5.6333152,0.0028667
1.1994933,1.2467604,0.021243,-1.567734,-0.0012689,5.6334169,0.0025352
1.3994089,1.4466751,0.0218274,-1.5680235,-0.001627,5.6335069,0.0022419
1.5993245,1.64659,0.0223469,-1.5683846,-0.0019851,5.6335864,0.0019826
1.79924,1.846505,0.022787,-1.5688172,-0.0023432,5.6336568,0.0017533
1.9991556,2.0464203,0.0231334,-1.5693214,-0.0027013,5.633719,0.0015505
2.1990711,2.2463357,0.0233719,-1.5698973,-0.0030594,5.633774,0.0013711
2.3989867,2.4462512,0.0234881,-1.5705447,-0.0034175,5.6338227,0.0012126
2.5989022,2.6461668,0.0234678,-1.5712637,-0.0037756,5.6338657,0.0010723
2.7988178,2.8460823,0.0232965,-1.5720543,-0.0041337,5.6339037,0.0009483
2.9987334,3.0459975,0.02296,-1.5729165,-0.0044918,5.6339374,0.0008386
3.1986489,3.2459124,0.022444,-1.5738502,-0.0048499,5.6339671,0.0007416
3.3985645,3.4458267,0.0217342,-1.5748556,-0.005208,5.6339935,0.0006558
3.59848,3.6457401,0.0208162,-1.5759326,-0.0055662,5.6340167,0.00058
3.7983956,3.8456524,0.0196758,-1.5770811,-0.0059243,5.6340373,0.0005129
3.9983111,4.0455632,0.0182986,-1.5783013,-0.0062824,5.6340555,0.0004536
4.1982267,4.2454721,0.0166704,-1.579593,-0.0066405,5.6340716,0.0004011
4.3981422,4.4453787,0.0147767,-1.5809564,-0.0069987,5.6340858,0.0003547
4.5980578,4.6452824,0.0126033,-1.5823913,-0.0073568,5.6340984,0.0003137
4.7979734,4.8451828,0.010136,-1.5838979,-0.007715,5.6341095,0.0002774
4.9978889,5.045079,0.0073603,-1.585476,-0.0080732,5.6341194,0.0002453
5.1978045,5.2449705,0.004262,-1.5871258,-0.0084314,5.6341281,0.0002169
5.39772,5.4448566,0.0008268,-1.5888472,-0.0087896,5.6341358,0.0001919
5.5976356,5.6447362,-0.0029596,-1.5906402,-0.0091479,5.6341426,0.0001697
5.7975511,5.8446086,-0.0071116,-1.5925048,-0.0095062,5.6341486,0.00015
5.9974667,6.0444728,-0.0116434,-1.594441,-0.0098645,5.6341539,0.0001327
6.1973823,6.2443276,-0.0165694,-1.5964489,-0.0102228,5.6341587,0.0001173
6.3972978,6.444172,-0.0219038,-1.5985284,-0.0105813,5.6341628,0.0001038
6.5972134,6.6440046,-0.0276609,-1.6006796,-0.0109394,5.6341665,9.18E-05
6.7971289,6.8438241,-0.033855,-1.6029025,-0.0112991,5.6341698,-0.8276541
6.9970445,7.0436291,-0.0405005,-1.6051967,-0.0116494,5.6047254,-2.9867291
7.19696,7.243419,-0.0475859,-1.6071798,-0.0081725,5.4971592,-4.7532749
7.3968756,7.4432018,-0.0548709,-1.6065574,0.0144215,5.3214897,-6.1301448
7.5967912,7.6430093,-0.0614289,-1.5991454,0.0597339,5.0859837,-7.130907
7.7967067,7.8428797,-0.0655653,-1.5821466,0.1103284,4.7975068,-7.1167186
7.9966223,8.0427889,-0.0652931,-1.5550377,0.1608893,4.4911675,-5.9015938
8.1965378,8.2425806,-0.0585906,-1.5177884,0.2118013,4.2203015,-4.9535355
8.3964534,8.4419022,-0.043436,-1.4703242,0.2631265,3.9787394,-4.2063838
8.5963689,8.640142,-0.017821,-1.4125313,0.3151998,3.7614524,-3.6098131
8.7962845,8.8363638,0.0202288,-1.3442132,0.3685253,3.5644367,-3.1203485
8.9962001,9.0292379,0.0726218,-1.265048,0.4238585,3.3849071,-2.6931045
9.1961156,9.2169674,0.1411545,-1.174541,0.4821873,3.2219263,-2.3047376
9.3960312,9.3972053,0.2274428,-1.0719542,0.5449785,3.0755981,-1.9991784
9.5959467,9.5669591,0.3328254,-0.9561731,0.6145545,2.9427827,-1.7442839
9.7958623,9.7225077,0.4581851,-0.8263491,0.6860593,2.8217992,-1.5384937
9.9957778,9.8595485,0.6035088,-0.6839678,0.7407506,2.7106112,-1.3984513
10.1956934,9.9736129,0.7674499,-0.5295738,0.8069102,2.6054306,-1.206251
