# d9c9a630-1ad0-4ca7-a24b-9dbcc06d303c,,,,,,
# e9a19b38e509a0346497c558d966096436d47c65,,,,,,
# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0,-13.1864962,0.15321,-2.2446088,0.6263207,3.4107093,0.6815648
0.1994346,-13.0234862,0.0385158,-2.1249791,0.574786,3.4503324,1.085383
0.3988692,-12.8484149,-0.0567974,-2.0153571,0.525616,3.512509,1.5457525
0.5983038,-12.6643527,-0.1333692,-1.9167511,0.4639982,3.5992044,1.9586034
0.7977384,-12.4739897,-0.1926273,-1.830481,0.401652,3.7061434,2.3838323
0.9971731,-12.2794777,-0.2364582,-1.756373,0.3418565,3.8322756,2.8546306
1.1966077,-12.0824177,-0.2669327,-1.6940153,0.2836875,3.9780599,3.3584811
1.3960423,-11.8839388,-0.286213,-1.6431516,0.2265009,4.1430128,3.918815
1.5954769,-11.6847831,-0.2965099,-1.6036408,0.1697775,4.3275455,4.5776335
1.7949115,-11.4853866,-0.3000565,-1.5753917,0.1135306,4.5335998,4.0585112
1.9943461,-11.2859567,-0.2990991,-1.5585246,0.0556153,4.7087517,3.3208613
2.1937807,-11.0865484,-0.2958758,-1.5523961,0.0058486,4.8473634,2.405319
2.3932153,-10.8871486,-0.2921544,-1.5521943,-0.0037923,4.9453351,1.314739
2.5926499,-10.6877471,-0.2885196,-1.5529426,-0.0037039,4.9980745,0.0482655
2.7920846,-10.4883429,-0.2850329,-1.5536824,-0.003716,5,0
2.9915192,-10.2889363,-0.2816937,-1.554422,-0.0037007,5,0
3.1909538,-10.0895272,-0.2785018,-1.5551592,-0.0036923,5,0
3.3903884,-9.8901159,-0.2754567,-1.5558946,-0.0036823,5,0
3.589823,-9.6907023,-0.2725581,-1.556628,-0.0036729,5,0
3.7892576,-9.4912867,-0.2698055,-1.5573596,-0.0036634,5,0
3.9886922,-9.2918692,-0.2671986,-1.5580893,-0.0036541,5,0
4.1881268,-9.0924497,-0.264737,-1.5588171,-0.0036447,5,0
