# 83dd6a70-f951-4245-bf44-d8fc98434ac2
# e9a19b38e509a0346497c558d966096436d47c65
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0472740; 0.0171722; -1.5675007; 0.0008797; 10.6688911; -2.1273308
0.1999156; 0.2471884; 0.0178463; -1.5673606; 0.0005216; 10.6289541; -3.8113121
0.3998311; 0.4471027; 0.0185412; -1.5672921; 0.0001635; 10.5570253; -5.4643952
0.5997467; 0.6470171; 0.0192426; -1.5672952; -0.0001946; 10.4530354; -5.6103604
0.7996622; 0.8469314; 0.0199363; -1.5673699; -0.0005527; 10.3451801; -5.6341472
0.9995778; 1.0468458; 0.0206078; -1.5675162; -0.0009108; 10.2357239; -5.6465922
1.1994933; 1.2467604; 0.0212430; -1.5677340; -0.0012689; 10.1248388; -5.6548963
1.3994089; 1.4466751; 0.0218274; -1.5680235; -0.0016270; 10.0125600; -5.6649031
1.5993245; 1.6465900; 0.0223469; -1.5683846; -0.0019851; 9.8988056; -5.6766753
1.7992400; 1.8465050; 0.0227870; -1.5688172; -0.0023432; 9.7834882; -5.6902790
1.9991556; 2.0464203; 0.0231334; -1.5693214; -0.0027013; 9.6665139; -5.7057841
2.1990711; 2.2463357; 0.0233719; -1.5698973; -0.0030594; 9.5477820; -5.7232649
2.3989867; 2.4462512; 0.0234881; -1.5705447; -0.0034175; 9.4271842; -5.7428006
2.5989022; 2.6461668; 0.0234678; -1.5712637; -0.0037756; 9.3046038; -5.7644757
2.7988178; 2.8460823; 0.0232965; -1.5720543; -0.0041337; 9.1799147; -5.7883807
2.9987334; 3.0459975; 0.0229600; -1.5729165; -0.0044918; 9.0529807; -5.8146127
3.1986489; 3.2459124; 0.0224440; -1.5738502; -0.0048499; 8.9236538; -5.8432766
3.3985645; 3.4458267; 0.0217342; -1.5748556; -0.0052080; 8.7917730; -5.8744854
3.5984800; 3.6457401; 0.0208162; -1.5759326; -0.0055662; 8.6571630; -5.9083617
3.7983956; 3.8456524; 0.0196758; -1.5770811; -0.0059243; 8.5196317; -5.9450393
3.9983111; 4.0455632; 0.0182986; -1.5783013; -0.0062824; 8.3789685; -5.9846641
4.1982267; 4.2454721; 0.0166704; -1.5795930; -0.0066405; 8.2349413; -6.0273963
4.3981422; 4.4453787; 0.0147767; -1.5809564; -0.0069987; 8.0872936; -6.0734127
4.5980578; 4.6452824; 0.0126033; -1.5823913; -0.0073568; 7.9357405; -6.1229095
4.7979734; 4.8451828; 0.0101360; -1.5838979; -0.0077150; 7.7799645; -6.1761054
4.9978889; 5.0450790; 0.0073603; -1.5854760; -0.0080732; 7.6196095; -6.2332461
5.1978045; 5.2449705; 0.0042620; -1.5871258; -0.0084314; 7.4542742; -6.2946096
5.3977200; 5.4448566; 0.0008268; -1.5888472; -0.0087896; 7.2835034; -6.3605137
5.5976356; 5.6447362; -0.0029596; -1.5906402; -0.0091479; 7.1067778; -6.4313246
5.7975511; 5.8446086; -0.0071116; -1.5925048; -0.0095062; 6.9234997; -6.5074702
5.9974667; 6.0444728; -0.0116434; -1.5944410; -0.0098645; 6.7329755; -6.5894559
6.1973823; 6.2443276; -0.0165694; -1.5964489; -0.0102228; 6.5343928; -6.6778951
6.3972978; 6.4441720; -0.0219038; -1.5985284; -0.0105813; 6.3267890; -6.7735237
6.5972134; 6.6440046; -0.0276609; -1.6006796; -0.0109394; 6.1090092; -6.8768979
6.7971289; 6.8438241; -0.0338550; -1.6029025; -0.0112991; 5.8796595; -7.0092059
6.9970445; 7.0436291; -0.0405005; -1.6051967; -0.0116494; 5.6363017; -6.9140665
7.1969600; 7.2434190; -0.0475859; -1.6071798; -0.0081725; 5.3854840; -6.6097168
7.3968756; 7.4432018; -0.0548709; -1.6065574; 0.0144215; 5.1342641; -6.1405673
7.5967912; 7.6430093; -0.0614289; -1.5991454; 0.0597339; 4.8893228; -5.5430418
7.7967067; 7.8428797; -0.0655653; -1.5821466; 0.1103284; 4.6571662; -4.8297103
7.9966223; 8.0427889; -0.0652931; -1.5550377; 0.1608893; 4.4450117; -4.2222499
8.1965378; 8.2425806; -0.0585906; -1.5177884; 0.2118013; 4.2508754; -3.7195687
8.3964534; 8.4419022; -0.0434360; -1.4703242; 0.2631265; 4.0721914; -3.2987471
8.5963689; 8.6401420; -0.0178210; -1.4125313; 0.3151998; 3.9068914; -2.9395094
8.7962845; 8.8363638; 0.0202288; -1.3442132; 0.3685253; 3.7534642; -2.6196670
8.9962001; 9.0292379; 0.0726218; -1.2650480; 0.4238585; 3.6112420; -2.3102581
9.1961156; 9.2169674; 0.1411545; -1.1745410; 0.4821873; 3.4809993; -1.9920815
9.3960312; 9.3972053; 0.2274428; -1.0719542; 0.5449785; 3.3646485; -1.6959818
9.5959467; 9.5669591; 0.3328254; -0.9561731; 0.6145545; 3.2623233; -1.3744464
9.7958623; 9.7225077; 0.4581851; -0.8263491; 0.6860593; 3.1769808; -0.9807537
9.9957778; 9.8595485; 0.6035088; -0.6839678; 0.7407506; 3.1146543; -0.6583808
10.1956934; 9.9736129; 0.7674499; -0.5295738; 0.8069102; 3.0721052; -0.4119076
10.3956089; 10.0598919; 0.9475303; -0.3616977; 0.8764559; 3.0451825; 0.0569329
10.5955245; 10.1138082; 1.1397676; -0.1842641; 0.9040380; 3.0489179; 0.7326789
10.7954401; 10.1336157; 1.3384742; -0.0197351; 0.7461030; 3.0965865; 1.5302406
10.9953556; 10.1239460; 1.5380156; 0.1101993; 0.5552577; 3.1938513; 2.6325398
11.1952712; 10.0922070; 1.7353237; 0.2025891; 0.3695016; 3.3545875; 4.0982051
11.3951867; 10.0459766; 1.9297941; 0.2580627; 0.1855332; 3.5905218; 4.9756978
11.5951023; 9.9925571; 2.1224371; 0.2768319; 0.0022516; 3.8576270; 5.4177915
11.7950178; 9.9388232; 2.3149941; 0.2625085; -0.1455573; 4.1288603; 5.5070870
11.9949334; 9.8898647; 2.5088140; 0.2318034; -0.1616011; 4.3874129; 5.1788935
12.1948490; 9.8470181; 2.7040758; 0.2005700; -0.1508659; 4.6173667; 4.4382535
12.3947645; 9.8100750; 2.9005412; 0.1715446; -0.1395241; 4.8056869; 4.2241060
12.5946801; 9.7786230; 3.0979611; 0.1448204; -0.1278409; 4.9783085; 4.1813909
12.7945956; 9.7522267; 3.2961214; 0.1204186; -0.1162879; 5.1434819; 4.1869808
12.9945112; 9.7304439; 3.4948426; 0.0983235; -0.1047630; 5.3037243; 4.2333202
13.1944267; 9.7128277; 3.6939772; 0.0785277; -0.0932839; 5.4609618; 4.3152355
13.3943423; 9.6989281; 3.8934064; 0.0610223; -0.0818479; 5.6167134; 4.4310833
13.5942579; 9.6882935; 4.0930370; 0.0457988; -0.0704546; 5.7722747; 4.5791978
13.7941734; 9.6804719; 4.2927981; 0.0328491; -0.0591000; 5.9287486; 4.7567962
13.9940890; 9.6750115; 4.4926381; 0.0221611; -0.0478302; 6.0870334; 4.6225264
14.1940045; 9.6714644; 4.6925216; 0.0136911; -0.0369079; 6.2370029; 2.4719071
14.3939201; 9.6693933; 4.8924261; 0.0073871; -0.0261604; 6.3157383; 0.0720843
14.5938356; 9.6683676; 5.0923389; 0.0032317; -0.0154127; 6.3180197; -2.3590828
14.7937512; 9.6679581; 5.2922540; 0.0012225; -0.0046882; 6.2429270; -4.7345179
14.9936668; 9.6677360; 5.4921695; 0.0013562; 0.0060249; 6.0894277; -6.6563472
15.1935823; 9.6672732; 5.6920844; 0.0036309; 0.0167322; 5.8668318; -6.6264261
15.3934979; 9.6661416; 5.8919966; 0.0080465; 0.0274425; 5.6365117; -6.4932534
15.5934134; 9.6639134; 6.0918994; 0.0146032; 0.0381534; 5.4013016; -6.3497293
15.7933290; 9.6601602; 6.2917791; 0.0233047; 0.0488982; 5.1609340; -6.0571136
15.9932445; 9.6544538; 6.4916122; 0.0341467; 0.0596438; 4.9207131; -5.6390503
16.1931601; 9.6462939; 6.6913595; 0.0482308; 0.0814955; 4.6860164; -5.1254828
16.3930756; 9.6346567; 6.8909320; 0.0701266; 0.1375673; 4.4619976; -4.5340188
16.5929912; 9.6175226; 7.0901028; 0.1034444; 0.1957666; 4.2540076; -3.9173046
16.7929068; 9.5926139; 7.2884437; 0.1483407; 0.2534565; 4.0657497; -3.3928229
16.9928223; 9.5576907; 7.4852584; 0.2048357; 0.3118795; 3.8953516; -2.9350611
17.1927379; 9.5105707; 7.6795018; 0.2731240; 0.3715556; 3.7416888; -2.5039223
17.3926534; 9.4491631; 7.8696961; 0.3535430; 0.4333996; 3.6054250; -2.0678234
17.5925690; 9.3715230; 8.0538415; 0.4466533; 0.4987465; 3.4888837; -1.6219306
17.7924845; 9.2759337; 8.2293159; 0.5533001; 0.5691076; 3.3946739; -1.1549198
17.9924001; 9.1610666; 8.3927888; 0.6741345; 0.6410484; 3.3259642; -0.7516595
18.1923157; 9.0263416; 8.5402875; 0.8082663; 0.7027114; 3.2804727; -0.4372432
18.3922312; 8.8723815; 8.6675375; 0.9536552; 0.7542159; 3.2537175; -0.1350488
18.5921468; 8.7011625; 8.7703579; 1.1074584; 0.7873278; 3.2454092; 0.2818163
18.7920623; 8.5161890; 8.8456932; 1.2586268; 0.7278378; 3.2627228; 0.7708719
18.9919779; 8.3222961; 8.8937740; 1.3932486; 0.6209165; 3.3096191; 1.3948624
19.1918934; 8.1239062; 8.9175575; 1.5059351; 0.5076243; 3.3928289; 2.1917691
19.3918090; 7.9240902; 8.9211059; 1.5965313; 0.3993387; 3.5196058; 3.1136171
19.5917246; 7.7246002; 8.9086939; 1.6658355; 0.2942717; 3.6922278; 4.0766343
19.7916401; 7.5261656; 8.8845665; 1.7142885; 0.1905377; 3.9067264; 5.0322444
19.9915557; 7.3287803; 8.8529011; 1.7419718; 0.0864021; 4.1562675; 5.4841645
20.1914712; 7.1319671; 8.8178214; 1.7489663; -0.0164333; 4.4121762; 5.6125154
20.3913868; 6.9350534; 8.7833147; 1.7365287; -0.1078638; 4.6595447; 5.4756214
20.5913023; 6.7375190; 8.7525810; 1.7131599; -0.1258945; 4.8888323; 5.0167667
20.7912179; 6.5392961; 8.7266590; 1.6887540; -0.1182855; 5.0898468; 4.3581681
20.9911335; 6.3405156; 8.7054263; 1.6659385; -0.1099788; 5.2582385; 4.1594632
21.1910490; 6.1413157; 8.6885700; 1.6447609; -0.1018976; 5.4140700; 4.1303659
21.3909646; 5.9418132; 8.6757747; 1.6251971; -0.0938299; 5.5644949; 4.1336036
21.5908801; 5.7421053; 8.6667238; 1.6072424; -0.0857988; 5.7110723; 4.1625911
21.7907957; 5.5422711; 8.6610996; 1.5908911; -0.0777873; 5.8549705; 4.2167268
21.9907112; 5.3423732; 8.6585836; 1.5761401; -0.0697876; 5.9972209; 4.2946746
22.1906268; 5.1424592; 8.6588566; 1.5629878; -0.0617925; 6.1387135; 4.3958442
22.3905423; 4.9425636; 8.6615991; 1.5514332; -0.0538027; 6.2802387; 4.5195006
22.5904579; 4.7427087; 8.6664914; 1.5414773; -0.0457983; 6.4224945; 4.6645292
22.7903735; 4.5429068; 8.6732136; 1.5331177; -0.0378331; 6.5660840; 4.8165587
22.9902890; 4.3431613; 8.6814475; 1.5263390; -0.0299826; 6.7111303; 4.9393618
23.1902046; 4.1434691; 8.6908898; 1.5209615; -0.0238163; 6.8566887; 5.0162313
23.3901201; 3.9438242; 8.7012875; 1.5167447; -0.0183694; 7.0014159; 5.0422027
23.5900357; 3.7442189; 8.7124185; 1.5136137; -0.0129532; 7.1439383; 5.0129811
23.7899512; 3.5446430; 8.7240663; 1.5115661; -0.0075314; 7.2828703; 4.9391950
23.9898668; 3.3450848; 8.7360146; 1.5106023; -0.0021114; 7.4172127; 4.8555721
24.1897824; 3.1455317; 8.7480471; 1.5107219; 0.0033086; 7.5469499; 4.7746017
24.3896979; 2.9459707; 8.7599477; 1.5119251; 0.0087282; 7.6723847; 4.6732007
24.5896135; 2.7463892; 8.7715000; 1.5142117; 0.0141478; 7.7932008; 4.5071665
24.7895290; 2.5467759; 8.7824878; 1.5175819; 0.0195677; 7.9079760; 4.2740278
24.9894446; 2.3471213; 8.7926946; 1.5220356; 0.0249884; 8.0152962; 3.9719446
25.1893601; 2.1474182; 8.8019039; 1.5275731; 0.0304104; 8.1137587; 3.5998132
25.3892757; 1.9476629; 8.8098989; 1.5341948; 0.0358344; 8.2019752; 3.1816666
25.5891913; 1.7478556; 8.8164627; 1.5419010; 0.0412609; 8.2791622; 2.7639885
